;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; SE-DKG ;Boeing 737-205;; 30 Sep 1990 ; 25 Jul 1991 ;TC-JUP Sultan Air ;lsf Transaviation KB ;;
; SE-DKH ;Boeing 737-205;; 28 Feb 1991 ; 25 Jul 1991 ;TC-JUR Sultan Air ;lsf Transaviation AB ;;
; SE-DLP ;Boeing 737-205;; 9 Feb 1991 ; 15 Mar 1991 ;SE-DLP (Time) Air Sweden ;lsf Nyckeln Flygleasing AB ;;
; SE-DLR ;Boeing 737-217;; 10 May 1990 ; 22 May 1990 ;TC-JUT Sultan Air ;;;
; PH-HVT ;Boeing 737-3K2; CY109 ; 1 Nov 1997 ; 29 Mar 1998 ;PH-HVT Transavia ;lsf Transavia ;;
; SE-DLN ;Boeing 737-3Y0;; 20 Sep 1989 ; 14 Dec 1990 ;PP-SOA VASP ;lsd ;;
; SE-DLO ;Boeing 737-3Y0;; 27 Sep 1989 ; 2 Dec 1990 ;PP-SOB VASP ;lsd ;;
; SE-DUS ;Boeing 737-3Y0;; 9 May 1997 ; 15 Aug 1998 ;SE-DUS Braathens Malmö Aviation ;lsd ;;
; SE-DUK ;Boeing 757-236;; 5 Dec 1995 ; 5 Dec 1996 ;SE-DUK Blue Scandinavia ;Arne Anka, lsd ;;
; SE-DUL ;Boeing 757-2Y0;; 26 Apr 1996 ; 28 Oct 1996 ;SE-DUL Blue Scandinavia ;lsd ;;
; SE-DUA ;Fokker F100; Y107 ; 1 Nov 1993 ; 21 Sep 1995 ;N132ML Midway Airlines ;;;
; SE-DUB ;Fokker F100; Y107 ; 1 Dec 1993 ; 10 Jul 1995 ;N131ML Midway Airlines ;;;
; SE-DUC ;Fokker F100;; 27 Aug 1993 ; 29 Mar 1998 ;SE-DUC Braathens Malmö Aviation ;lsd ;;
; SE-DUD ;Fokker F100;; 15 Sep 1993 ; 29 Mar 1998 ;SE-DUD Braathens Malmö Aviation ;lsd ;;
; SE-DUE ;Fokker F100;; Aug 1996 ; 16 Apr 1998 ;SE-DUE Braathens Malmö Aviation ;lsd ;;
; SE-DUF ;Fokker F100; Y107 ; 23 Mar 1994 ; 17 Jul 1995 ;N130ML Midway Airlines ;;;
; SE-DUG ;Fokker F100;; 31 Jul 1995 ; 10 Nov 1995 ;N133ML Midway Airlines ;;;
; SE-DUH ;Fokker F100;; 5 Aug 1995 ; 28 May 1997 ;PH-LNN Guinness Peat Aviation (GPA) ;lsd ;;
; SE-DUI ;Fokker F100;; 7 Sep 1995 ; 7 May 1997 ;PT-MQC TAM Linhas Aéreas ;lsd ;;
; SE-DUR ;Fokker F100;; 24 Mar 1997 ; 29 Mar 1998 ;SE-DUR Braathens Malmö Aviation ;;;
; PH-MBZ ;McDonnell Douglas MD-82 (DC-9-82);; 23 Nov 1987 ; Apr 1989 ;PH-MBZ Swissair ;lsf Martinair Holland ;;
; SE-DHB ;McDonnell Douglas MD-83 (DC-9-83);; 6 Mar 1996 ; 6 Mar 1996 ;SX-BFO Venus Airlines ;;;
; SE-DHC ;McDonnell Douglas MD-83 (DC-9-83);; 19 Feb 1987 ; 7 Feb 1996 ;N830VV ValuJet Airlines ;;;
; SE-DHD ;McDonnell Douglas MD-83 (DC-9-83);; 29 Mar 1996 ; 25 Jun 1996 ;EC-291 Spanair ;lsd ;;
; SE-DHF ;McDonnell Douglas MD-83 (DC-9-83);; 21 Feb 1988 ; 1 Oct 1988 ;EC-190 Lineas Aereas Canarias ;;;
; SE-DHN ;McDonnell Douglas MD-83 (DC-9-83);; 23 Aug 1988 ; 12 Aug 1996 ;OH-LPH Finnair ;lsf Finnair ;;
; SE-DLS ;McDonnell Douglas MD-83 (DC-9-83);; 30 Apr 1991 ; 28 Oct 1996 ;SE-DLS Blue Scandinavia ;lsd ;;
; SE-DLU ;McDonnell Douglas MD-83 (DC-9-83);; 9 Mar 1992 ; Dec 1995 ;SE-DLU Blue Scandinavia ;lsd ;;
; SE-DLV ;McDonnell Douglas MD-83 (DC-9-83);; 5 Apr 1994 ; 10 Apr 1996 ;OH-LPC Finnair ;lsf Finnair ;;
; SE-DLX ;McDonnell Douglas MD-83 (DC-9-83);; 6 Apr 1993 ; 21 Nov 1995 ;OH-LPB Finnair ;lsf Finnair ;;
; SE-DPU ;McDonnell Douglas MD-83 (DC-9-83);; 28 May 1993 ; 2 Mar 1994 ;EC-592 Spanair ;lsd ;;
; SE-DRU ;McDonnell Douglas MD-83 (DC-9-83);; 15 Mar 1994 ; 20 Mar 1995 ;HB-IUL BalairCTA ;;;
; SE-DHG ;McDonnell Douglas MD-87 (DC-9-87);; 2 Jan 1995 ; 8 Nov 1996 ;EC-GKF Spanair ;;;
; SE-DHI ;McDonnell Douglas MD-87 (DC-9-87);; 17 Jan 1995 ; 1 Dec 1995 ;SE-DHI AOM French Airlines ;;;
