;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; PK-YRE ;ATR 42-320; Airborne Surveillance ; Mar 2021 ;opf Marine and Fisheries Resources Surveillance (PSDKP) ; 31.6 Years ;;
; PK-YRR ;ATR 42-300;; 17 Nov 2005 ;; 31.4 Years ;;
; PK-YRV ;ATR 42-320;; 9 Jun 2006 ;; 31.7 Years ;;
; PK-YSJ ;ATR 42-300;; 17 Feb 2016 ;; 33.3 Years ;;
; PK-YSP ;ATR 42-500;; 6 Nov 2018 ;; 24.1 Years ;;
; PK-YSK ;ATR 72-500 (72-212A);; 24 Mar 2017 ;lsd ; 24.2 Years ;;
; PK-YSL ;ATR 72-500 (72-212A);; 20 Sep 2017 ;lsd ; 23.6 Years ;;
; PK-YRA ;Boeing 737-322; Preighter ; 18 Dec 2019 ;; 31.5 Years ;;
; PK-YRD ;Boeing 737-3M8; Preighter ; Feb 2021 ;lsd, "Ninja Xpress" sticker ; 31 Years ;;
; PK-YSG ;Boeing 737-301(BDSF); Cargo ; 4 Jun 2014 ;lsd ; 33.9 Years ;;
; PK-YSH ;Boeing 737-3L9; Preighter ; 29 May 2015 ;lsd, opf J&T Express ; 26.3 Years ;;
; PK-YSN ;Boeing 737-322(SF); Cargo ; 8 Jun 2018 ;; 32.9 Years ;;
; PK-YST ;Boeing 737-301(SF); Cargo ; 18 Dec 2020 ;; 34.1 Years ;;
; PK-YSV ;Boeing 737-330(QC);; Dec 2021 ;; 33.1 Years ;;
; PK-YSZ ;Boeing 737-3Z0(SF); Cargo ; 17 Dec 2010 ;; 35.7 Years ;;
; PK-YSC ;Boeing 737-59D; Cargo ; 16 Sep 2020 ;lsf Aero North International ; 29.8 Years ;;
