;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; TS-IMO ;Airbus A319-114; C16Y90 ; 18 Apr 2001 ;; Hannibal / حنبعل ; 20.9 Years ;;
; TS-IMQ ;Airbus A319-112; C16Y90 ; 23 Apr 2007 ;; Alyssa / عليسة ; 14.9 Years ;;
; TS-IMF ;Airbus A320-211; CY162 ; 2 Dec 1992 ; Parked ; Djerba / جربة ; 29.4 Years ;;
; TS-IMN ;Airbus A320-211; CY162 ; 30 Mar 2000 ; Parked TUN ; Ibn Khaldoun / ابن خلدون ; 22 Years ;;
; TS-IMR ;Airbus A320-214; CY162 ; 25 Jun 2010 ;; Habib Bourguiba / الحبيب بورقيبة ; 11.7 Years ;;
; TS-IMS ;Airbus A320-214; CY162 ; 6 May 2011 ; Parked TUN ; Dougga / دقة‎ ; 10.9 Years ;;
; TS-IMT ;Airbus A320-214; CY162 ; 13 Jul 2012 ;"Tunisia / Libya" sticker ; Aziza Othmana / عزيزة عثمانة ; 9.7 Years ;;
; TS-IMU ;Airbus A320-214; CY162 ; 12 Feb 2013 ;; Sousse / سوسة ; 9.1 Years ;;
; TS-IMV ;Airbus A320-214; CY162 ; 30 Apr 2013 ;"70 Years" sticker ; Ibn El Jazzar / ابن الجزار. ; 8.9 Years ;;
; TS-IMW ;Airbus A320-214(WL); CY162 ; 28 Nov 2014 ;; Farhat Hached / فرحات حشاد ; 7.3 Years ;;
; TS-IMX ;Airbus A320-251N; C12Y138 ; 23 Dec 2021 ;; Carthage ; 0.2 Years ;;
; TS-IMY ;Airbus A320-251N; C12Y138 ; 10 Feb 2022 ;; Sbeitla ; 0.1 Years ;;
; TS-IFM ;Airbus A330-243; C24Y236 ; 8 Jun 2015 ;; Tunis / تونس‎ ; 6.9 Years ;;
; TS-IFN ;Airbus A330-243; C24Y236 ; 24 Aug 2015 ;; Sidi Bou Saïd / سيدي بو سعيد ; 6.8 Years ;;
; TS-IOK ;Boeing 737-6H3; Y126 ; 25 May 1999 ; Parked ; Kairouan ; 22.8 Years ;;
; TS-ION ;Boeing 737-6H3; Y126 ; 21 Apr 2000 ;; Utique ; 22 Years ;;
; TS-IOP ;Boeing 737-6H3; Y126 ; 8 May 2000 ; Parked TUN, 70th Anniversary Retro cs ; El Jem / الجم ; 21.8 Years ;;
