;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EZ-A007 ;Boeing 737-7GL(WL); VIP ; 28 Jul 2008 ;; 13.6 Years ;;
; EZ-A008 ;Boeing 737-72K(WL); Y149 ; 10 Sep 2009 ; Parked ; 12.6 Years ;;
; EZ-A009 ;Boeing 737-72K(WL); C8Y118 ; 11 Sep 2009 ;; 12.5 Years ;;
; EZ-A700 ;Boeing 737-72K(WL) BBJ; VIP ; 16 Feb 2018 ;; 4.1 Years ;;
; EZ-A004 ;Boeing 737-82K(WL); C16Y144 ; 20 Feb 2007 ; Parked ASB ; 15.1 Years ;;
; EZ-A005 ;Boeing 737-82K(WL); C16Y144 ; 11 Apr 2007 ; Parked ; 14.9 Years ;;
; EZ-A015 ;Boeing 737-82K(WL); C16Y144 ; 6 May 2013 ; Parked ; 8.9 Years ;;
; EZ-A016 ;Boeing 737-82K(WL); C16Y144 ; 31 May 2013 ;; 8.8 Years ;;
; EZ-A017 ;Boeing 737-82K(WL); C16Y144 ; 16 Dec 2013 ;; 8.2 Years ;;
; EZ-A018 ;Boeing 737-82K(WL); C16Y144 ; 8 Aug 2016 ;; 5.6 Years ;;
; EZ-A019 ;Boeing 737-82K(WL); C16Y144 ; 24 Feb 2017 ;; 5.1 Years ;;
; EZ-A020 ;Boeing 737-82K(WL); C16Y144 ; 26 Jun 2017 ;; 4.7 Years ;;
; EZ-A010 ;Boeing 757-23A; C16Y173 ; 1 Dec 1993 ; Parked ; 30.3 Years ;;
; EZ-A011 ;Boeing 757-22K; C16Y173 ; 29 Aug 1996 ;; 25.5 Years ;;
; EZ-A014 ;Boeing 757-22K; C16Y173 ; 30 Jan 2001 ; Parked ; 21.1 Years ;;
; EZ-A777 ;Boeing 777-22KLR; VIP ; 31 Aug 2010 ;; 11.5 Years ;;
; EZ-A778 ;Boeing 777-22KLR; C28Y263 ; 14 Mar 2014 ;; 8 Years ;;
; EZ-A779 ;Boeing 777-22KLR; C28Y263 ; 24 Apr 2014 ; Parked ; 7.9 Years ;;
; EZ-A780 ;Boeing 777-200LR;; 11 Jun 2021 ; Parked ; 1 Years ;;
; EZ-B024 ;Bombardier Challenger 870 (CL-600-2C10); VIP ; 2 Apr 2012 ;; 10 Years ;;
