;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; S2-AKG ;ATR 72-600 (72-212A);; 22 Mar 2019 ;lsd ; 3.5 Years ;;
; S2-AKH ;ATR 72-600 (72-212A);; 8 Apr 2019 ;lsd ; 4 Years ;;
; S2-AKI ;ATR 72-600 (72-212A);; 17 Oct 2019 ;lsd ; 8.9 Years ;;
; S2-AKJ ;ATR 72-600 (72-212A);; 24 Sep 2019 ;lsd ; 2.7 Years ;;
; S2-AKK ;ATR 72-600 (72-212A);; 15 Jan 2020 ;lsd ; 2.3 Years ;;
; S2-AKL ;ATR 72-600 (72-212A);; 20 Jan 2020 ;lsd ; 2.3 Years ;;
; S2-AKO ;ATR 72-600 (72-212A);; 20 Mar 2021 ;lsd ; 2.3 Years ;;
; S2-AJA ;Boeing 737-8Q8(WL); C8Y156 ; 10 Oct 2016 ;lsd ; 21.3 Years ;;
; S2-AJB ;Boeing 737-8Q8(WL); C8Y156 ; Oct 2016 ;lsd ; 19.6 Years ;;
; S2-AJC ;Boeing 737-8Q8(WL); C8Y156 ; 1 Mar 2017 ;lsd ; 15.1 Years ;;
; S2-AJD ;Boeing 737-8Q8(WL); C8Y156 ; 23 Sep 2017 ;lsd ; 14.5 Years ;;
; S2-AJE ;Boeing 737-8GJ(WL);; Feb 2022 ;lsd ; 8.8 Years ;;
; S2- ;Boeing 737-8GJ(WL);; Due ; Stored, lsd ; 9 Years ;;
; S2-AGV ;Bombardier DHC-8-402Q Dash 8; Y76 ; 20 May 2014 ;; 21.1 Years ;;
; S2-AGX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 24 Jan 2018 ;; 21.2 Years ;;
