;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; UR-UTA ;ATR 42-300; Y46 ; 12 May 2010 ; 24 Dec 2013 ;N5039Q Intertrade ;;;
; UR-UTB ;ATR 42-300; Y46 ; 29 Oct 2009 ; 30 Dec 2013 ;N503ZT Intertrade ;;;
; UR-UTD ;ATR 42-300; Y46 ; 19 Jul 2011 ; 7 May 2014 ;D-BLAU Rheinland Air Service (RAS) ;;;
; UR-UTE ;ATR 42-300; Y46 ; 28 Jul 2011 ; 13 May 2014 ; Scrapped ;;;
; UR-UTF ;ATR 42-300; Y46 ; 3 Oct 2011 ; 7 May 2014 ; Scrapped ;lsd ;;
; UR-UTH ;ATR 72-500 (72-212A); Y68 ; 24 Apr 2012 ; Apr 2015 ;F-WNUC ACIA Aero Leasing ;;;
; UR-UTI ;ATR 72-500 (72-212A); Y68 ; 27 Apr 2012 ; 24 Nov 2014 ;AP-BKV PIA Pakistan International Airlines ;;;
; UR-UTJ ;ATR 72-500 (72-212A); Y68 ; 15 Jun 2012 ; 22 May 2014 ;F-WNUE Abric Leasing ;;;
; UR-UTK ;ATR 72-500 (72-212A); Y68 ; 23 Jul 2012 ; Apr 2015 ;F-WNUF ACIA Aero Leasing ;;;
; UR-UTL ;ATR 72-500 (72-212A); Y68 ; 17 Aug 2012 ; Apr 2015 ;F-WNUG ACIA Aero Leasing ;;;
; UR-UTG ;Boeing 737-4Q8; Y168 ; 22 May 2010 ; 19 Jun 2013 ;N347AT Bank of Utah ;lsd ;;
; UR-UTS ;Boeing 737-524(WL); C8Y106 ; 17 Jan 2014 ; Aug 2014 ;VP-BFS UTair Aviation ;;;
; UR-UTP ;Boeing 737-8Q8; Y189 ; 20 Mar 2013 ; 8 Nov 2015 ;UR-UTP Azur Air Ukraine ;lsd ;;
; UR-UTQ ;Boeing 737-83N(WL); Y189 ; 27 Apr 2013 ; 8 Nov 2015 ;UR-UTQ Azur Air Ukraine ;lsd ;;
; UR-UTR ;Boeing 737-8Q8(WL); Y189 ; 19 Jun 2013 ; 8 Nov 2015 ;UR-UTR Azur Air Ukraine ;lsd, ANEX Tour cs ;;
; UR-UTX ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; May 2013 ; 13 Mar 2017 ;N790ST TVPX Trust Services ;lsd ;;
; UR-UTY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; Jun 2012 ; 13 Oct 2013 ;N792ST TVPX Trust Services ;lsd ;;
; UR-UTZ ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; Jun 2012 ; 13 Mar 2017 ;N791ST TVPX Trust Services ;lsd ;;
