;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N120UP ;Airbus A300F4-622R; Cargo ; 25 Jul 2000 ;;; 22 Years ;;
; N121UP ;Airbus A300F4-622R; Cargo ; 21 Sep 2000 ;;; 21.8 Years ;;
; N122UP ;Airbus A300F4-622R; Cargo ; 12 Sep 2000 ;;; 21.8 Years ;;
; N124UP ;Airbus A300F4-622R; Cargo ; 20 Oct 2000 ;;; 21.6 Years ;;
; N125UP ;Airbus A300F4-622R; Cargo ; 30 Oct 2000 ;;; 21.5 Years ;;
; N126UP ;Airbus A300F4-622R; Cargo ; 29 Nov 2000 ;;; 21.4 Years ;;
; N127UP ;Airbus A300F4-622R; Cargo ; 8 Dec 2000 ;;; 21.3 Years ;;
; N128UP ;Airbus A300F4-622R; Cargo ; 7 Mar 2001 ;;; 21.2 Years ;;
; N129UP ;Airbus A300F4-622R; Cargo ; 30 Mar 2001 ;;; 21.1 Years ;;
; N130UP ;Airbus A300F4-622R; Cargo ; 4 May 2001 ;;; 21 Years ;;
; N131UP ;Airbus A300F4-622R; Cargo ; 30 May 2001 ;;; 21 Years ;;
; N133UP ;Airbus A300F4-622R; Cargo ; 12 Jun 2001 ;;; 20.9 Years ;;
; N134UP ;Airbus A300F4-622R; Cargo ; 6 Jul 2001 ;;; 20.8 Years ;;
; N135UP ;Airbus A300F4-622R; Cargo ; 23 Aug 2001 ;;; 20.7 Years ;;
; N136UP ;Airbus A300F4-622R; Cargo ; 30 Aug 2001 ; Parked ;; 20.7 Years ;;
; N137UP ;Airbus A300F4-622R; Cargo ; 28 Sep 2001 ;;; 20.6 Years ;;
; N138UP ;Airbus A300F4-622R; Cargo ; 18 Oct 2001 ;;; 20.6 Years ;;
; N139UP ;Airbus A300F4-622R; Cargo ; 25 Oct 2001 ;;; 20.5 Years ;;
; N140UP ;Airbus A300F4-622R; Cargo ; 25 Jan 2002 ;;; 20.4 Years ;;
; N141UP ;Airbus A300F4-622R; Cargo ; 26 Feb 2002 ; Parked ;; 20.3 Years ;;
; N142UP ;Airbus A300F4-622R; Cargo ; 14 Feb 2002 ;;; 20.2 Years ;;
; N143UP ;Airbus A300F4-622R; Cargo ; 15 Mar 2002 ;;; 20.1 Years ;;
; N144UP ;Airbus A300F4-622R; Cargo ; 19 Apr 2002 ;;; 20 Years ;;
; N145UP ;Airbus A300F4-622R; Cargo ; 23 May 2002 ;;; 20 Years ;;
; N146UP ;Airbus A300F4-622R; Cargo ; 5 Feb 2003 ;;; 19.6 Years ;;
; N147UP ;Airbus A300F4-622R; Cargo ; 7 Feb 2003 ;;; 19.4 Years ;;
; N148UP ;Airbus A300F4-622R; Cargo ; 13 Mar 2003 ;;; 19.2 Years ;;
; N149UP ;Airbus A300F4-622R; Cargo ; 14 May 2003 ;;; 19.2 Years ;;
; N150UP ;Airbus A300F4-622R; Cargo ; 15 May 2003 ;;; 19 Years ;;
; N151UP ;Airbus A300F4-622R; Cargo ; 4 Jun 2003 ;;; 18.9 Years ;;
; N152UP ;Airbus A300F4-622R; Cargo ; 24 Jul 2003 ;;; 18.9 Years ;;
; N153UP ;Airbus A300F4-622R; Cargo ; 28 Aug 2003 ;;; 18.7 Years ;;
; N154UP ;Airbus A300F4-622R; Cargo ; 5 Feb 2004 ;;; 18.3 Years ;;
; N156UP ;Airbus A300F4-622R; Cargo ; 11 Mar 2004 ;;; 18.2 Years ;;
; N157UP ;Airbus A300F4-622R; Cargo ; 13 May 2004 ; Parked ;; 18 Years ;;
; N158UP ;Airbus A300F4-622R; Cargo ; 17 Jun 2004 ;;; 18.1 Years ;;
; N159UP ;Airbus A300F4-622R; Cargo ; 16 Jul 2004 ; Parked ;; 17.9 Years ;;
; N160UP ;Airbus A300F4-622R; Cargo ; 9 Sep 2004 ;;; 17.7 Years ;;
; N161UP ;Airbus A300F4-622R; Cargo ; 21 Oct 2004 ;;; 17.9 Years ;;
; N162UP ;Airbus A300F4-622R; Cargo ; 27 Jan 2005 ;;; 17.3 Years ;;
; N163UP ;Airbus A300F4-622R; Cargo ; 17 Feb 2005 ;;; 17.2 Years ;;
; N164UP ;Airbus A300F4-622R; Cargo ; 7 Jul 2005 ;;; 17.1 Years ;;
; N165UP ;Airbus A300F4-622R; Cargo ; 19 May 2005 ;;; 17 Years ;;
; N166UP ;Airbus A300F4-622R; Cargo ; 23 Jun 2005 ;;; 16.9 Years ;;
; N167UP ;Airbus A300F4-622R; Cargo ; 28 Jul 2005 ;;; 16.7 Years ;;
; N168UP ;Airbus A300F4-622R; Cargo ; 25 Aug 2005 ;;; 16.7 Years ;;
; N169UP ;Airbus A300F4-622R; Cargo ; 19 Jan 2006 ; Parked ;; 16.4 Years ;;
; N170UP ;Airbus A300F4-622R; Cargo ; 9 Feb 2006 ;;; 16.2 Years ;;
; N171UP ;Airbus A300F4-622R; Cargo ; 16 Mar 2006 ; Parked ;; 16.1 Years ;;
; N172UP ;Airbus A300F4-622R; Cargo ; 5 May 2006 ;;; 16.1 Years ;;
