;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B- ;Boeing 737-8 MAX;; On Order ;lsd ; 2.4 Years ;;
; B- ;Boeing 737-8 MAX; C8Y168 ; On Order ;lsd ; 2.3 Years ;;
; B-1322 ;Boeing 737-86W(WL); Y189 ; 17 Aug 2017 ;lsd ; 4.6 Years ;;
; B-1323 ;Boeing 737-86W(WL); Y189 ; 15 Dec 2017 ;lsd ; 4.2 Years ;;
; B-1325 ;Boeing 737-86W(WL); Y189 ; 27 Oct 2017 ;lsd ; 4.4 Years ;;
; B-1568 ;Boeing 737-8EH(WL); Y189 ; 12 Jul 2016 ;lsd, U-FLY Alliance cs ; 6.1 Years ;;
; B-1569 ;Boeing 737-84P(WL); Y189 ; 8 Sep 2016 ;lsd ; 5.5 Years ;;
; B-1570 ;Boeing 737-84P(WL); Y189 ; 27 Oct 2016 ;lsd ; 5.4 Years ;;
; B-205T ;Boeing 737-84P(WL); Y189 ; 17 Jul 2018 ;lsd ; 3.7 Years ;;
; B-205U ;Boeing 737-84P(WL); Y189 ; 17 Aug 2018 ;lsd ; 3.6 Years ;;
; B-205V ;Boeing 737-84P(WL); Y189 ; 17 Sep 2018 ;lsd ; 3.5 Years ;;
; B-206P ;Boeing 737-84P(WL); Y189 ; 30 Oct 2018 ;lsd ; 3.4 Years ;;
; B-2157 ;Boeing 737-84P(WL); Y186 ; 18 Aug 2014 ;; 20.3 Years ;;
; B-2159 ;Boeing 737-84P(WL); Y186 ; 9 Sep 2014 ;; 20.4 Years ;;
; B-6268 ;Boeing 737-8LP(WL); Y189 ; 28 Jul 2015 ;lsd, Kanas (喀纳斯号) cs ; 7.2 Years ;;
; B-6995 ;Boeing 737-84P(WL); C8Y162 ; 10 Nov 2015 ;lsd ; 6.3 Years ;;
; B-7198 ;Boeing 737-84P(WL); C8Y162 ; 22 Dec 2015 ;lsd ; 6.2 Years ;;
