;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N127NK ;McDonnell Douglas DC-9-21;; 29 Dec 1995 ; Jun 1996 ;N127NK Allegiant Air ;953 ;;
; N128NK ;McDonnell Douglas DC-9-21;; 19 Jan 1996 ; Sep 1996 ; Scrapped ;950 ;;
; N129NK ;McDonnell Douglas DC-9-21;; 29 Dec 1995 ; Aug 1996 ;SX-BFS Venus Airlines ;951, lsd ;;
; N952VV ;McDonnell Douglas DC-9-21;; May 1996 ; Sep 1996 ; Scrapped ;;;
; N901VJ ;McDonnell Douglas DC-9-32;; May 1994 ; 24 Sep 1997 ;N901VJ AirTran Airways ;901 ;;
; N902VJ ;McDonnell Douglas DC-9-32;; May 1994 ; 24 Sep 1997 ;N802AT AirTran Airways ;902 ;;
; N903VJ ;McDonnell Douglas DC-9-32;; May 1994 ; Aug 1996 ;N903VJ AirTran Airways ;;;
; N904VJ ;McDonnell Douglas DC-9-32;; 3 Dec 1993 ; 11 May 1996 ; Written Off ;;;
; N905VJ ;McDonnell Douglas DC-9-32;; May 1994 ; 24 Sep 1997 ;N905VJ AirTran Airways ;905 ;;
; N906VJ ;McDonnell Douglas DC-9-32;; May 1994 ; 24 Sep 1997 ;N906VJ AirTran Airways ;906 ;;
; N907VJ ;McDonnell Douglas DC-9-32;; May 1994 ; 24 Sep 1997 ;N907VJ AirTran Airways ;907 ;;
; N908VJ ;McDonnell Douglas DC-9-32;; 4 Feb 1994 ; 8 Jun 1995 ; Written Off ;908 ;;
; N909VJ ;McDonnell Douglas DC-9-32;; 10 Feb 1994 ; 24 Sep 1997 ;N909VJ AirTran Airways ;909 ;;
; N910VJ ;McDonnell Douglas DC-9-32;; 16 Mar 1994 ; 24 Sep 1997 ;N910VJ AirTran Airways ;910 ;;
; N911VV ;McDonnell Douglas DC-9-32;; 10 May 1995 ; 24 Sep 1997 ;N911VV AirTran Airways ;911 ;;
; N912VV ;McDonnell Douglas DC-9-32;; 9 May 1994 ; 24 Sep 1997 ;N912VV AirTran Airways ;912 ;;
; N913VV ;McDonnell Douglas DC-9-32;; 12 May 1994 ; 24 Sep 1997 ;N913VV AirTran Airways ;913 ;;
; N914VV ;McDonnell Douglas DC-9-32;; 25 Apr 1994 ; 24 Sep 1997 ;N914VV AirTran Airways ;914 ;;
; N915VV ;McDonnell Douglas DC-9-32; C20Y95 ; 5 Jul 1994 ; 24 Sep 1997 ;N915VV AirTran Airways ;915, opby AirTran Airlines ;;
; N916VV ;McDonnell Douglas DC-9-32;; 12 Jul 1994 ; 24 Sep 1997 ;N916VV AirTran Airways ;;;
; N917VV ;McDonnell Douglas DC-9-32;; 18 Nov 1994 ; Aug 1996 ;N917VV AirTran Airways ;;;
; N918VV ;McDonnell Douglas DC-9-32;; 13 Jan 1995 ; 24 Sep 1997 ;N918VV AirTran Airways ;;;
; N919VV ;McDonnell Douglas DC-9-32;; Aug 1995 ; 24 Sep 1997 ;N919VV AirTran Airways ;;;
; N920VV ;McDonnell Douglas DC-9-32;; 29 Dec 1995 ;; Scrapped ;;;
; N921VV ;McDonnell Douglas DC-9-32;; 5 Oct 1995 ; 24 Sep 1997 ;N921VV AirTran Airways ;;;
; N922VV ;McDonnell Douglas DC-9-32;; Jul 1996 ; 24 Sep 1997 ;N922VV AirTran Airways ;922 ;;
; N923VV ;McDonnell Douglas DC-9-32;; 13 Sep 1995 ; 24 Sep 1997 ;N923VV AirTran Airways ;923 ;;
; N924VV ;McDonnell Douglas DC-9-32;; Sep 1996 ; 24 Sep 1997 ;N924VV AirTran Airways ;924 ;;
; N925VV ;McDonnell Douglas DC-9-32;; Dec 1996 ; 24 Sep 1997 ;N925VV AirTran Airways ;925 ;;
; N930VV ;McDonnell Douglas DC-9-32;; Apr 1995 ; 24 Sep 1997 ;N930VV AirTran Airways ;;;
; N931VV ;McDonnell Douglas DC-9-32;; Apr 1995 ; 24 Sep 1997 ;N931VV AirTran Airways ;;;
; N932VV ;McDonnell Douglas DC-9-32;; Mar 1995 ; 24 Sep 1997 ;N932VV AirTran Airways ;;;
; N933VV ;McDonnell Douglas DC-9-32;; 24 Mar 1995 ; 24 Sep 1997 ;N933VV AirTran Airways ;;;
; N934VV ;McDonnell Douglas DC-9-32;; 17 Apr 1995 ; 24 Sep 1997 ;N934VV AirTran Airways ;;;
; N935VV ;McDonnell Douglas DC-9-32;; 25 Apr 1995 ; 24 Sep 1997 ;N935VV AirTran Airways ;;;
; N936VV ;McDonnell Douglas DC-9-32;; Aug 1995 ; 24 Sep 1997 ;N936VV AirTran Airways ;;;
; N937VV ;McDonnell Douglas DC-9-32;; Aug 1995 ; 24 Sep 1997 ;N937VV AirTran Airways ;;;
; N938VV ;McDonnell Douglas DC-9-32;; 17 Apr 1995 ; 24 Sep 1997 ;N938VV AirTran Airways ;;;
; N939VV ;McDonnell Douglas DC-9-32;; 8 Feb 1996 ; 24 Sep 1997 ;N939VV AirTran Airways ;;;
; N940VV ;McDonnell Douglas DC-9-32;; 1 Mar 1995 ; 24 Sep 1997 ;N940VV AirTran Airways ;;;
; N941VV ;McDonnell Douglas DC-9-32;; 7 Jul 1995 ; Mar 1997 ;XA-THC Aero California ;;;
; N942VV ;McDonnell Douglas DC-9-32;; 1 Sep 1995 ; Mar 1997 ;XA-THB Aero California ;;;
; N945VV ;McDonnell Douglas DC-9-32;; 15 Jun 1995 ; 24 Sep 1997 ;N945VV AirTran Airways ;lsd ;;
; N946VV ;McDonnell Douglas DC-9-32;; 28 Feb 1996 ; 24 Sep 1997 ;N946VV AirTran Airways ;;;
; N947VV ;McDonnell Douglas DC-9-32;; Dec 1996 ; 24 Sep 1997 ;N947VV AirTran Airways ;;;
; N948VV ;McDonnell Douglas DC-9-32;; 15 Mar 1996 ; 24 Sep 1997 ;N948VV AirTran Airways ;;;
; N949VV ;McDonnell Douglas DC-9-32;; 9 May 1996 ; 24 Sep 1997 ;N949VV AirTran Airways ;;;
; N960VV ;McDonnell Douglas DC-9-31;; 29 Dec 1995 ; 10 Apr 1997 ;N960VV Express One International ;;;
; N965VV ;McDonnell Douglas DC-9-31;; Aug 1996 ; 16 Apr 1997 ;N965VV Spirit Airlines ;;;
; N966VV ;McDonnell Douglas DC-9-32;; 19 Mar 1996 ; 24 Sep 1997 ;N966VV AirTran Airways ;966 ;;
