;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; VN-A650 ;Airbus A320-214(WL); Y180 ; 11 Feb 2015 ; Parked, lsd ; 7.1 Years ;;;
; VN-A655 ;Airbus A320-214(WL); Y180 ; 11 Mar 2015 ; Parked, lsd ; 7 Years ;;;
; VN-A656 ;Airbus A320-214(WL); Y180 ; 12 May 2015 ; Parked, lsd ; 6.9 Years ;;;
; VN-A658 ;Airbus A320-214(WL); Y180 ; 25 Nov 2014 ; Parked, lsd ; 7.3 Years ;;;
; VN-A662 ;Airbus A320-214(WL); Y180 ; 24 Sep 2015 ;lsd ; 6.5 Years ;;;
; VN-A663 ;Airbus A320-214(WL); Y180 ; 6 Oct 2015 ;lsd ; 6.5 Years ;;;
; VN-A666 ;Airbus A320-214; Y180 ; 30 Nov 2011 ;lsd ; 13.2 Years ;;;
; VN-A668 ;Airbus A320-214; Y180 ; 1 Dec 2011 ; Parked, lsd ; 13.1 Years ;;;
; VN-A669 ;Airbus A320-214; Y180 ; 11 Dec 2011 ; Parked, lsd ; 12.4 Years ;;;
; VN-A671 ;Airbus A320-214(WL); Y180 ; 16 Feb 2016 ;lsd, "HDBank" sticker ; 6.1 Years ;;;
; VN-A672 ;Airbus A320-214(WL); Y180 ; 7 Mar 2016 ;lsd ; 6 Years ;;;
; VN-A675 ;Airbus A320-214(WL); Y180 ; 13 Jun 2016 ; Parked ; 5.8 Years ;;;
; VN-A676 ;Airbus A320-214(WL); Y180 ; 7 Jun 2016 ; Parked, lsd ; 5.8 Years ;;;
; VN-A689 ;Airbus A320-214; Y180 ; 13 Nov 2012 ; Parked, lsd ; 12.1 Years ;;;
; VN-A690 ;Airbus A320-214; Y180 ; 31 May 2014 ;lsd ; 11.5 Years ;;;
; VN-A691 ;Airbus A320-214; Y180 ; 31 May 2014 ;lsf Philippine Airlines ; 11.3 Years ;;;
; VN-A695 ;Airbus A320-214; Y180 ; 24 Oct 2014 ; Parked, lsd ; 13.4 Years ;;;
; VN-A699 ;Airbus A320-214; Y180 ; 9 Jan 2013 ; Parked, lsd ; 12.1 Years ;;;
; VN-A522 ;Airbus A321-211(WL); Y220 ; 21 Jan 2020 ;lsd ; 6.8 Years ;;;
; VN-A532 ;Airbus A321-211(WL); Y220 ; 23 Dec 2019 ;lsd ; 6.9 Years ;;;
; VN-A535 ;Airbus A321-211(WL); Y220 ; 19 Jan 2020 ; Parked, lsd ; 6 Years ;;;
; VN-A542 ;Airbus A321-211(WL); Y220 ; 30 Dec 2019 ; Parked, lsd ; 5.9 Years ;;;
; VN-A544 ;Airbus A321-211(WL); Y220 ; 11 Jan 2020 ; Parked, lsd ; 5.9 Years ;;;
; VN-A627 ;Airbus A321-211(WL); Y230 ; 20 Nov 2018 ;; 3.3 Years ;;;
; VN-A628 ;Airbus A321-211(WL); Y230 ; 21 Nov 2018 ;; 3.3 Years ;;;
; VN-A629 ;Airbus A321-211(WL); Y230 ; 10 Dec 2018 ;; 3.3 Years ;;;
; VN-A630 ;Airbus A321-211(WL); Y230 ; 28 Apr 2017 ;lsd ; 4.9 Years ;;;
; VN-A631 ;Airbus A321-211(WL); Y230 ; 11 May 2017 ;lsd ; 4.8 Years ;;;
; VN-A632 ;Airbus A321-211(WL); Y230 ; 16 Oct 2017 ;lsd ; 4.4 Years ;;;
; VN-A633 ;Airbus A321-211(WL); Y230 ; 27 Oct 2017 ;lsd ; 4.4 Years ;;;
; VN-A634 ;Airbus A321-211(WL); Y230 ; 29 Nov 2017 ; Parked, lsd ; 4.3 Years ;;;
; VN-A635 ;Airbus A321-211(WL); Y230 ; 10 Nov 2017 ;lsd ; 4.3 Years ;;;
; VN-A636 ;Airbus A321-211(WL); Y230 ; 7 Dec 2017 ; Parked, lsd ; 4.2 Years ;;;
; VN-A637 ;Airbus A321-211(WL); Y230 ; 15 Dec 2017 ;lsd ; 4.2 Years ;;;
; VN-A639 ;Airbus A321-211(WL); Y230 ; 20 Dec 2017 ; Parked, lsd ; 4.2 Years ;;;
; VN-A640 ;Airbus A321-211(WL); Y230 ; 11 May 2017 ;lsd ; 4.8 Years ;;;
; VN-A641 ;Airbus A321-211(WL); Y230 ; 31 May 2017 ; Parked, lsd ; 4.8 Years ;;;
; VN-A642 ;Airbus A321-211(WL); Y230 ; 2 Jun 2017 ;lsd ; 4.8 Years ;;;
; VN-A643 ;Airbus A321-211(WL); Y230 ; 15 Nov 2017 ;lsd ; 4.3 Years ;;;
; VN-A644 ;Airbus A321-211(WL); Y230 ; 5 Dec 2017 ;lsd ; 4.2 Years ;;;
; VN-A645 ;Airbus A321-211(WL); Y230 ; 24 Nov 2017 ;lsd ; 4.3 Years ;;;
; VN-A647 ;Airbus A321-211(WL); Y230 ; 18 Jan 2018 ; Parked, lsd ; 4.1 Years ;;;
; VN-A648 ;Airbus A321-211(WL); Y230 ; 24 Jan 2018 ;lsd ; 4.1 Years ;;;
; VN-A649 ;Airbus A321-211(WL); Y230 ; 26 Feb 2018 ; Parked, lsd ; 4 Years ;;;
; VN-A651 ;Airbus A321-211(WL); Y220 ; 20 Mar 2015 ; Parked, lsd, 9000th Airbus Aircraft cs ; 9.4 Years ;;;
