;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; G-VLNM ;Airbus A330-223; C19W35Y212 ; 11 May 2018 ; Parked MAN, lsd ; Strawberry Fields ; 22.1 Years ;;
; G-VGBR ;Airbus A330-343; C33W48Y185 ; 24 Aug 2012 ;lsd ; Golden Girl ; 9.6 Years ;;
; G-VGEM ;Airbus A330-343; C33W48Y185 ; 30 Oct 2012 ;lsd ; Diamond Girl ; 10.9 Years ;;
; G-VINE ;Airbus A330-343; C33W48Y185 ; 13 Aug 2012 ;lsd ; Champagne Belle ; 10.8 Years ;;
; G-VKSS ;Airbus A330-343; C33W48Y185 ; 28 Feb 2011 ;lsd ; Mademoiselle Rouge ; 11.1 Years ;;
; G-VLUV ;Airbus A330-343; C33W48Y185 ; 30 Nov 2012 ;lsd ; Lady Love ; 11 Years ;;
; G-VNYC ;Airbus A330-343; C33W48Y185 ; 28 Jun 2012 ;lsd ; Uptown Girl ; 9.8 Years ;;
; G-VRAY ;Airbus A330-343; C33W48Y185 ; 30 Mar 2012 ;lsd ; Miss Sunshine ; 10 Years ;;
; G-VSXY ;Airbus A330-343; C33W48Y185 ; 24 Feb 2011 ;lsd ; Beauty Queen ; 11.1 Years ;;
; G-VUFO ;Airbus A330-343; C33W48Y185 ; 15 Nov 2012 ;lsd ; Lady Stardust ; 9.4 Years ;;
; G-VWAG ;Airbus A330-343; C33W48Y185 ; 15 Oct 2012 ;lsd ; Miss England ; 9.4 Years ;;
; G-VMIX ;Airbus A330-941;; On Order ;;;;;
; G-VDOT ;Airbus A350-1041; C44W56Y235 ; 4 Sep 2020 ;; Ruby Slipper ; 5.1 Years ;;
; G-VELJ ;Airbus A350-1041; C16W56Y325 ; On Order ;;;;;
; G-VEVE ;Airbus A350-1041; C16W56Y325 ; 1 Dec 2021 ;lsd ; Fearless Lady ; 0.5 Years ;;
; G-VJAM ;Airbus A350-1041; C44W56Y235 ; 27 Sep 2019 ;; Queen Of Hearts ; 2.6 Years ;;
; G-VLIB ;Airbus A350-1041; C16W56Y325 ; On Order ;; Lady Emmeline ;;;
; G-VLUX ;Airbus A350-1041; C44W56Y235 ; 9 Aug 2019 ; Parked, lsd ; Red Velvet ; 2.7 Years ;;
; G-VPOP ;Airbus A350-1041; C44W56Y235 ; 28 Aug 2019 ;; Mamma Mia ; 2.8 Years ;;
; G-VPRD ;Airbus A350-1041; C44W56Y235 ; 23 Sep 2019 ;; Rain Bow ; 2.7 Years ;;
; G-VRNB ;Airbus A350-1041; C44W56Y235 ; 17 Sep 2020 ;lsd ; Purple Rain ; 1.8 Years ;;
; G-VTEA ;Airbus A350-1041; C44W56Y235 ; 30 Nov 2020 ;lsd ; Rosie Lee ; 1.7 Years ;;
; G-VAHH ;Boeing 787-9 Dreamliner; C31W35Y198 ; 30 Dec 2014 ;lsd ; Dream Girl ; 7.2 Years ;;
; G-VBEL ;Boeing 787-9 Dreamliner; C31W35Y198 ; 13 Mar 2018 ;lsd ; Lady Freedom ; 4 Years ;;
; G-VBOW ;Boeing 787-9 Dreamliner; C31W35Y198 ; 29 Mar 2017 ;lsd ; Pearly Queen ; 4.9 Years ;;
; G-VBZZ ;Boeing 787-9 Dreamliner; C31W35Y198 ; 29 Mar 2016 ;lsd ; Queen Bee ; 6 Years ;;
; G-VCRU ;Boeing 787-9 Dreamliner; C31W35Y198 ; 14 Sep 2015 ;lsd ; Olivia Rae ; 6.5 Years ;;
; G-VDIA ;Boeing 787-9 Dreamliner; C31W35Y198 ; 24 Mar 2016 ;; Lucy in the Sky ; 6.2 Years ;;
; G-VFAN ;Boeing 787-9 Dreamliner; C31W35Y198 ; 10 Jun 2016 ;lsd ; Pin Up Girl ; 5.8 Years ;;
; G-VMAP ;Boeing 787-9 Dreamliner; C31W35Y198 ; 20 May 2016 ; Parked ; West End Girl ; 5.8 Years ;;
; G-VNEW ;Boeing 787-9 Dreamliner; C31W35Y198 ; 9 Oct 2014 ;lsd ; Birthday Girl ; 7.4 Years ;;
; G-VNYL ;Boeing 787-9 Dreamliner; C31W35Y198 ; 24 Apr 2018 ;; Penny Lane ; 3.9 Years ;;
; G-VOOH ;Boeing 787-9 Dreamliner; C31W35Y198 ; 4 Feb 2015 ;lsd ; Miss Chief ; 7.1 Years ;;
; G-VOWS ;Boeing 787-9 Dreamliner; C31W35Y198 ; 23 Dec 2015 ;; Maid Marian ; 6.3 Years ;;
; G-VSPY ;Boeing 787-9 Dreamliner; C31W35Y198 ; 15 Dec 2015 ;lsd ; Miss Moneypenny ; 6.3 Years ;;
; G-VWHO ;Boeing 787-9 Dreamliner; C31W35Y198 ; 30 Jun 2015 ;lsd ; Mystery Girl ; 6.7 Years ;;
; G-VWOO ;Boeing 787-9 Dreamliner; C31W35Y198 ; 19 Jan 2018 ;lsd ; Leading Lady ; 4.1 Years ;;
; G-VYUM ;Boeing 787-9 Dreamliner; C31W35Y198 ; 14 May 2015 ;lsd ; Ruby Murray ; 6.8 Years ;;
; G-VZIG ;Boeing 787-9 Dreamliner; C31W35Y198 ; 9 Mar 2015 ;lsd ; Dream Jeannie ; 7 Years ;;
