;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VH-XFA ;Airbus A330-243;; 4 Mar 2011 ; 4 May 2011 ;VH-XFA Virgin Australia ;lsd ;;
; VH-XFB ;Airbus A330-243;; 19 Apr 2011 ; 4 May 2011 ;VH-XFB Virgin Australia ;lsd ;;
; VH-CZQ ;Boeing 737-33A;; 29 Oct 2001 ; 15 Jan 2004 ;N446CT CIT Leasing Corporation ;lsd ;;
; VH-VGA ;Boeing 737-43Q;; 29 May 2000 ; 21 May 2002 ;OO-VEP Virgin Express ;Blue Belle, lsd ;;
; VH-VGB ;Boeing 737-4Q8;; 31 Aug 2000 ; 24 Oct 2002 ;EI-CZG Air One ;lsd ;;
; VH-VGC ;Boeing 737-46M;; 14 Nov 2000 ; 7 Mar 2002 ;OO-VEC Virgin Express ;lsf Virgin Express ;;
; VH-VGD ;Boeing 737-4Y0; Y164 ; 1 Dec 2000 ; 3 May 2002 ;OO-VJO Virgin Express ;lsf Virgin Express ;;
; VH-VGE ;Boeing 737-43Q;; 15 Feb 2001 ; 20 Feb 2003 ;OO-VES Virgin Express ;lsd ;;
; VH-VOZ ;Boeing 737-4Q8;; 9 Jun 2000 ; 17 May 2002 ;EI-CXM Air One ;lsd ;;
; VH-VBA ;Boeing 737-7Q8(WL); Y144 ; 27 Apr 2001 ; 3 May 2011 ;N711LF ILFC ;Brizzie Lizzie, lsd ;;
; VH-VBB ;Boeing 737-7Q8(WL); Y144 ; 3 May 2001 ; 26 Mar 2011 ;N721LF ILFC ;Barossa Babe, lsd ;;
; VH-VBC ;Boeing 737-7Q8(WL); Y144 ; 5 Jun 2001 ; 4 May 2011 ;VH-VBC Virgin Australia ;Betty Blue, lsd ;;
; VH-VBD ;Boeing 737-7Q8(WL); Y144 ; 17 Oct 2001 ; 4 May 2011 ;VH-VBD Virgin Australia ;Sassy Sydney, lsd ;;
; VH-VBF ;Boeing 737-7Q8(WL); Y144 ; 17 Dec 2001 ; 4 May 2011 ;VH-VBF Virgin Australia ;Mellie Melbourne, lsd ;;
; VH-VBH ;Boeing 737-7Q8(WL); Y144 ; 1 Mar 2002 ; 4 May 2011 ;VH-VBH Virgin Australia ;Spirit of Salty, lsd ;;
; VH-VBI ;Boeing 737-7Q8(WL); Y144 ; 11 Apr 2002 ; 4 May 2011 ;VH-VBI Virgin Australia ;Smurfette, lsd ;;
; VH-VBJ ;Boeing 737-7Q8(WL); Y144 ; 21 Jun 2002 ; 4 May 2011 ;VH-VBJ Virgin Australia ;Perth Princess, lsd ;;
; VH-VBK ;Boeing 737-7Q8(WL); Y144 ; 11 Jul 2002 ; 4 May 2011 ;VH-VBK Virgin Australia ;Lady Victoria, lsd ;;
; VH-VBL ;Boeing 737-7Q8(WL); Y144 ; 15 Oct 2002 ; 4 May 2011 ;VH-VBL Virgin Australia ;Victoria Vixen, lsd ;;
; VH-VBM ;Boeing 737-76N(WL); Y144 ; 24 May 2002 ; 4 May 2011 ;VH-VBM Virgin Australia ;Tassie Tigress, lsd ;;
; VH-VBN ;Boeing 737-76N(WL); Y144 ; 17 May 2002 ; 4 May 2011 ;VH-VBN Virgin Australia ;Southern Belle, lsd ;;
; VH-VBO ;Boeing 737-76N(WL); Y144 ; 8 Nov 2002 ; 4 May 2011 ;VH-VBO Virgin Australia ;Tropical Temptress, lsd ;;
; VH-VBP ;Boeing 737-7BX(WL); Y144 ; 21 Aug 2002 ; 4 May 2011 ;VH-VBP Virgin Australia ;Déja Blue, lsd ;;
; VH-VBQ ;Boeing 737-7BX(WL); Y144 ; 2 Sep 2002 ; 28 Sep 2010 ;N552WN Southwest Airlines ;La Blue Femme, lsd ;;
; VH-VBR ;Boeing 737-7BX(WL); Y144 ; 12 Sep 2002 ; 19 Oct 2010 ;N553WN Southwest Airlines ;Mackay Maiden, lsd ;;
; VH-VBS ;Boeing 737-7BX(WL); Y144 ; 19 Sep 2002 ; 18 Jan 2011 ;N554WN Southwest Airlines ;Blue Baroness, lsd ;;
; VH-VBT ;Boeing 737-7BX; Y144 ; 28 Jan 2003 ; 31 Mar 2009 ;N737KA Kaiser Air ;Launie Lass, lsd ;;
; VH-VBU ;Boeing 737-76Q(WL); Y144 ; 15 May 2003 ; 4 May 2011 ;VH-VBU Virgin Australia ;Darwin Diva, lsd ;;
; VH-VBV ;Boeing 737-7BK(WL); Y144 ; 10 Oct 2003 ; 4 May 2011 ;VH-VBV Virgin Australia ;Moulin Blue, lsd ;;
; VH-VBW ;Boeing 737-705;; 15 Jul 2003 ; 21 Nov 2004 ;B-5091 Chang An Airlines ;lsd ;;
; VH-VBX ;Boeing 737-705;; 23 Jul 2003 ; 21 Oct 2004 ;B-5092 Chang An Airlines ;Sultry Sapphire, lsd ;;
; VH-VBY ;Boeing 737-7FE(WL); Y144 ; 28 Jul 2005 ; 4 May 2011 ;VH-VBY Virgin Australia ;Virgin-ia Blue, Virginia Blue cs ;;
; VH-VBZ ;Boeing 737-7FE(WL); Y144 ; 30 Aug 2005 ; 4 May 2011 ;VH-VBZ Virgin Australia ;Maliblue ;;
; VH-BZG ;Boeing 737-8FE(WL); Y180 ; 30 Jul 2010 ; 4 May 2011 ;VH-BZG Virgin Australia ;Brett's Jet ;;
; VH-VOA ;Boeing 737-8BK(WL); Y180 ; 6 Nov 2001 ; 7 Mar 2011 ;N814SY Sun Country Airlines ;Blue Belle, lsd ;;
; VH-VOB ;Boeing 737-8BK(WL); Y180 ; 15 Apr 2002 ; 4 May 2011 ;VH-VOB Virgin Australia ;Matilda Blue, lsd ;;
; VH-VOC ;Boeing 737-8BK(WL); Y180 ; 22 May 2002 ; 20 Apr 2011 ;N815SY Sun Country Airlines ;Skye Blue, lsd ;;
; VH-VOD ;Boeing 737-8BK(WL); Y180 ; 14 Aug 2002 ; 4 May 2011 ;VH-VOD Virgin Australia ;Blue Moon, lsd ;;
; VH-VOE ;Boeing 737-86Q(WL);; 7 Dec 2001 ; 4 Feb 2005 ;TC-SUO SunExpress ;lsd ;;
; VH-VOF ;Boeing 737-86Q(WL);; 5 Dec 2001 ; 3 Apr 2005 ;TC-SUU SunExpress ;lsd ;;
; VH-VOG ;Boeing 737-86N(WL); Y180 ; 5 Dec 2001 ; 13 Dec 2009 ;N116MN GECAS ;Misty Blue, lsd ;;
; VH-VOH ;Boeing 737-86N(WL); Y180 ; 22 Mar 2002 ; 28 May 2010 ;N117MN GECAS ;Jazzy Blue, lsd ;;
; VH-VOI ;Boeing 737-81Q(WL);; 28 May 2002 ; Jun 2006 ;N786TA Tombo Aviation ;Blue Bambino, lsd, Gillette Razor Mach3 cs ;;
; VH-VOJ ;Boeing 737-81Q(WL);; 22 Nov 2002 ; Dec 2006 ;N787TM Tombo Aviation ;Lulu Blue, lsd, Queensland cs ;;
; VH-VOK ;Boeing 737-8FE(WL); Y180 ; 13 Aug 2003 ; 4 May 2011 ;VH-VOK Virgin Australia ;Smoochy Maroochy ;;
; VH-VOL ;Boeing 737-8FE(WL); Y180 ; 20 Aug 2003 ; 4 May 2011 ;VH-VOL Virgin Australia ;Goldie Coast ;;
; VH-VOM ;Boeing 737-8FE(WL); Y180 ; 12 Sep 2003 ; 4 May 2011 ;VH-VOM Virgin Australia ;Little Blue Peep ;;
; VH-VON ;Boeing 737-8FE(WL); Y180 ; 11 Sep 2003 ; 4 May 2011 ;VH-VON Virgin Australia ;Scarlett Blue ;;
