;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-TLG ;Airbus A320-231;; 15 Mar 1995 ; 29 Apr 1995 ;EI-TLG SunExpress ;lsf Translift Airways ;;
; EI-TLP ;Airbus A320-232;; 1 Feb 1998 ; 31 Oct 1998 ;EI-TLP TransAer International Airlines ;lsf TransAer International Airlines ;;
; EI-TLS ;Airbus A320-231;; 31 Aug 1998 ; 27 Apr 1999 ;EI-TLS TransAer International Airlines ;lsd ;;
; EI-TVN ;Boeing 737-36N;; 19 Jan 1999 ; 4 Apr 2001 ;OO-VEN Virgin Express ;lsd ;;
; EI-TVO ;Boeing 737-36M;; 6 May 1999 ; 23 Mar 2001 ;HB-IIL easyJet Switzerland ;lsd ;;
; EI-TVP ;Boeing 737-3M8;; 30 Jun 1999 ; 21 Feb 2001 ;OO-LTL Virgin Express ;lsf Virgin Express ;;
; EI-TVQ ;Boeing 737-36N;; 14 Jan 2000 ; 15 Jan 2001 ;OO-VEG Virgin Express ;lsf Virgin Express ;;
; EI-TVR ;Boeing 737-36N;; 1 Mar 2000 ; 10 Jan 2001 ;OO-VEH Virgin Express ;lsf Virgin Express ;;
; EI-TVS ;Boeing 737-36N;; 15 Mar 2000 ; 17 Nov 2000 ;OO-VEX Virgin Express ;lsf Virgin Express ;;
; EI-TVA ;Boeing 737-43Q;; 21 Nov 1998 ; 29 May 2000 ;VH-VGA Virgin Blue ;lsd ;;
; EI-TVB ;Boeing 737-43Q;; 9 Dec 1998 ; 15 Feb 2001 ;VH-VGE Virgin Blue ;lsd ;;
; EI-TVC ;Boeing 737-4Y0;; 10 Feb 2000 ; 23 Mar 2001 ;SX-BLN Axon Airlines ;lsd ;;
