;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N302VA ;Boeing 737-247; C52 ; 8 Mar 1994 ;; Scrapped ;lsd ;;
; N303VA ;Boeing 737-247;; 25 Jan 1995 ;; Scrapped ;lsd ;;
; N304VA ;Boeing 737-247; C52 ; 8 Mar 1994 ;; Scrapped ;lsd ;;
; N305VA ;Boeing 737-247;; 8 Mar 1993 ; 21 Feb 1995 ;N305VA Nations Air Express ;lsd ;;
; N306VA ;Boeing 737-247;; Nov 1992 ;; Scrapped ;lsd ;;
; N307VA ;Boeing 737-247;; 8 Mar 1994 ; 1 Jan 1996 ;N487GS Pace Airlines ;lsf George Shinn Sports Inc ;;
; N308VA ;Boeing 737-247;; 8 Mar 1994 ; 27 Jan 1995 ;N308VA Nations Air Express ;;;
; N309VA ;Boeing 737-247;; 8 Mar 1994 ; 1 Mar 1996 ;N309VA Nations Air Express ;;;
; N310VA ;Boeing 737-284(A);; 16 Sep 1995 ; Mar 1997 ;N310VA Vistajet ;;;
; N311VA ;Boeing 737-284(A);; 8 Mar 1994 ; 17 Dec 1997 ;C-GGWJ WestJet ;lsd ;;
; N313VA ;Boeing 737-204;; Jul 1994 ; 4 Aug 1997 ;RP-C8890 Grand Air ;;;
; N501AV ;Boeing 737-247;; 23 Sep 1991 ; 1 Mar 1993 ;OB-1536 Aero Continente ;lsf Pinnacle Aircraft Leasing ;;
; N903RC ;Boeing 737-247;; 8 May 1996 ; 14 Jun 1996 ;N903RC Sierra Pacific Airlines ;lsf 9 Lives Holdings Inc ;;
; N914LF ;McDonnell Douglas DC-9-14;; Aug 1991 ; Jul 1992 ; Scrapped ;lsd ;;
