;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VP-BEQ ;Airbus A320-212; C12Y138 ; 3 Aug 2008 ; 10 Jan 2014 ; Scrapped ;lsd ;;
; VP-BFX ;Airbus A320-214; C12Y138 ; 16 Jan 2008 ; 15 Apr 2014 ;D-AHHG Hamburg Airways ;lsd ;;
; VP-BFY ;Airbus A320-214; C12Y138 ; 14 Jan 2008 ; 11 Jun 2014 ;D-AHHH Hamburg Airways ;lsd ;;
; VP-BRB ;Airbus A320-212; C12Y138 ; 1 Feb 2007 ; 19 Feb 2012 ;LY-COM Cosmo Airlines ;lsd ;;
; VQ-BCG ;Airbus A320-214; C12Y138 ; 17 Mar 2009 ; 19 Mar 2014 ;VQ-BCG Rossiya - Russian Airlines ;lsd ;;
; VQ-BFM ;Airbus A320-214; C12Y138 ; 5 May 2010 ; 10 Jul 2014 ;VQ-BFM Rossiya - Russian Airlines ;lsd ;;
; VQ-BHS ;Airbus A320-214; C12Y138 ; 11 Aug 2010 ; 26 Mar 2014 ;UR-AJA Atlasjet Ukraine ;lsd ;;
; VQ-BCW ;Airbus A330-301; C24Y303 ; 30 Apr 2009 ; 1 May 2012 ;AP-BKM Shaheen Air ;lsd ;;
; VQ-BEQ ;Airbus A330-301; C24Y303 ; 12 Oct 2009 ; 31 Jan 2013 ;AP-BKN Shaheen Air ;lsd ;;
; VQ-BEU ;Airbus A330-301; C24Y303 ; 5 May 2010 ; 17 Jun 2012 ;AP-BKL Shaheen Air ;lsd ;;
; RA-64026 ;Tupolev Tu-204-300; C8Y134 ; Nov 2004 ; 8 Dec 2020 ;RA-64026 Russia - Ministry of Internal Affairs ;lsd ;;
; RA-64038 ;Tupolev Tu-204-300; C8Y134 ; 20 May 2005 ;; Stored ;lsd ;;
; RA-64039 ;Tupolev Tu-204-300; C8Y134 ; 16 Aug 2005 ;; Stored ;lsd ;;
; RA-64040 ;Tupolev Tu-204-300; C8Y134 ; 25 Dec 2005 ;; Stored ;lsd ;;
; RA-64044 ;Tupolev Tu-204-300; C8Y134 ; 11 Jul 2008 ; 7 May 2019 ;RA-64044 Roscosmos ;lsd ;;
; RA-64045 ;Tupolev Tu-204-300; C8Y134 ; 15 Aug 2008 ; 29 Mar 2019 ;RA-64045 Roscosmos ;lsd ;;
