;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; XA-VOC ;Airbus A319-132; Y144 ; 17 Jan 2007 ;lsd ; Celina ; 15.2 Years ;;;
; XA-VOE ;Airbus A319-133; Y144 ; 16 Mar 2007 ;lsd ;; 15 Years ;;;
; XA-VOI ;Airbus A319-132; Y144 ; 1 Mar 2006 ;lsd ; Ixchel ; 16.2 Years ;;;
; N505VL ;Airbus A320-233; Y174 ; 28 Jul 2011 ;lsd ;; 10.6 Years ;;;
; N506VL ;Airbus A320-233; Y174 ; 29 Sep 2011 ;lsd ; Brooke ; 10.5 Years ;;;
; N507VL ;Airbus A320-233; Y174 ; 8 Sep 2011 ;lsd ; Laura ; 10.5 Years ;;;
; N508VL ;Airbus A320-233; Y174 ; 13 Dec 2011 ;lsd ;; 10.2 Years ;;;
; N509VL ;Airbus A320-233; Y174 ; 29 Mar 2012 ;lsd ; Blanquita ; 9.9 Years ;;;
; N510VL ;Airbus A320-233; Y174 ; 28 Jun 2012 ;lsd ; Alex ; 9.7 Years ;;;
; N511VL ;Airbus A320-233; Y174 ; 10 Jul 2012 ;lsd ; Los Pérez ; 9.7 Years ;;;
; N512VL ;Airbus A320-233; Y174 ; 18 Oct 2012 ;lsd ; Fernanda ; 9.4 Years ;;;
; N513VL ;Airbus A320-233; Y174 ; 19 Nov 2012 ;lsd ; Paula ; 9.3 Years ;;;
; N514VL ;Airbus A320-233; Y174 ; 31 Oct 2012 ;lsd ; Alfredo ; 9.3 Years ;;;
; N515VL ;Airbus A320-233; Y174 ; 26 Nov 2012 ;lsd ; Los Ruíz ; 9.3 Years ;;;
; N517VL ;Airbus A320-233; Y174 ; 20 May 2013 ;lsd ; Paloma ; 10.8 Years ;;;
; N518VL ;Airbus A320-233(WL); Y174 ; 21 Feb 2013 ;lsd ; Los Vázquez ; 9 Years ;;;
; N519VL ;Airbus A320-233(WL); Y174 ; 12 Mar 2013 ;lsd ; Los Medina ; 9 Years ;;;
; N520VL ;Airbus A320-233(WL); Y174 ; 15 May 2013 ;lsd ; Julián ; 8.8 Years ;;;
; N521VL ;Airbus A320-233(WL); Y174 ; 12 Jun 2013 ;lsd ; Melissa ; 8.7 Years ;;;
; N522VL ;Airbus A320-233(WL); Y174 ; 30 Sep 2013 ;lsd ; Mirella ; 8.4 Years ;;;
; N523VL ;Airbus A320-233(WL); Y174 ; 10 Mar 2014 ;lsd ;; 8 Years ;;;
; N524VL ;Airbus A320-233(WL); Y174 ; 18 Jun 2014 ;lsd ; Margarita ; 7.7 Years ;;;
; N525VL ;Airbus A320-233(WL); Y179 ; 4 Nov 2014 ;lsd ; #FuerzaMéxico ; 7.4 Years ;;;
; N526VL ;Airbus A320-233(WL); Y179 ; 10 Nov 2017 ;lsd ; Costa Rica ; 7.1 Years ;;;
; N527VL ;Airbus A320-233(WL); Y179 ; 16 Nov 2017 ;lsd ;; 6.6 Years ;;;
; XA-VLB ;Airbus A320-233(WL); Y174 ; 28 Feb 2014 ;lsd ; Alejandra ; 8.1 Years ;;;
; XA-VLC ;Airbus A320-233(WL); Y174 ; 26 Feb 2014 ;lsd ; Cynthia ; 8.1 Years ;;;
; XA-VLD ;Airbus A320-233(WL); Y174 ; 13 May 2014 ;lsd ; Samuel ; 7.8 Years ;;;
; XA-VLE ;Airbus A320-233(WL); Y179 ; 2 Oct 2014 ;lsd ; Kevin ; 7.5 Years ;;;
; XA-VLF ;Airbus A320-233(WL); Y179 ; 21 Oct 2014 ;lsd ;; 7.4 Years ;;;
; XA-VLK ;Airbus A320-233(WL); Y179 ; 20 May 2015 ;lsd ; Alberto ; 6.8 Years ;;;
; XA-VLL ;Airbus A320-233(WL); Y179 ; 18 Sep 2015 ;lsd ; Wendy ; 6.5 Years ;;;
; XA-VLM ;Airbus A320-233(WL); Y179 ; 16 Dec 2015 ;lsd ; Jesús ; 6.2 Years ;;;
; XA-VLN ;Airbus A320-233(WL); Y179 ; 28 Jan 2016 ;lsd ; Los Capistrán ; 6.1 Years ;;;
; XA-VLO ;Airbus A320-233(WL); Y179 ; 17 Feb 2016 ;lsd ; Los Serrano ; 6.1 Years ;;;
; XA-VLP ;Airbus A320-233(WL); Y179 ; 7 Mar 2016 ; Parked, lsd ; Los Trujillo ; 6 Years ;;;
; XA-VLQ ;Airbus A320-233(WL); Y179 ; 3 May 2016 ;lsd ; Los Ornelas ; 5.9 Years ;;;
; XA-VLR ;Airbus A320-233(WL); Y179 ; 12 Jan 2017 ;lsd ;; 5.8 Years ;;;
; XA-VLS ;Airbus A320-233(WL); Y179 ; 17 May 2016 ;lsd ; Los Ruelas ; 5.8 Years ;;;
; XA-VLX ;Airbus A320-233(WL); Y179 ; 24 Oct 2016 ;lsd ;; 5.4 Years ;;;
; XA-VOY ;Airbus A320-233(WL); Y180 ; 8 Oct 2013 ;lsd ; Martha ; 8.4 Years ;;;
; XA-VOZ ;Airbus A320-233(WL); Y180 ; 4 Nov 2013 ;lsd ;; 8.4 Years ;;;
; XA-VRA ;Airbus A320-233(WL); Y179 ; 14 Dec 2016 ;lsd ;; 5.2 Years ;;;
; N528VL ;Airbus A320-271N; Y186 ; 9 Sep 2016 ;lsd ; Alex ; 5.5 Years ;;;
; N529VL ;Airbus A320-271N; Y186 ; 7 Jul 2017 ;lsd ;; 5.1 Years ;;;
; N530VL ;Airbus A320-271N; Y186 ; 4 Oct 2017 ;lsd ; Diana ; 4.5 Years ;;;
; N531VL ;Airbus A320-271N; Y186 ; 10 Oct 2017 ;lsd, XV años cs ; Quinceañera ; 4.5 Years ;;;
; N532VL ;Airbus A320-271N; Y186 ; 5 Dec 2017 ;lsd, Space Jam Una Nueva Era cs ;; 4.3 Years ;;;
; N533VL ;Airbus A320-271N; Y186 ; 30 Apr 2018 ;lsd ;; 3.9 Years ;;;
; N538VL ;Airbus A320-271N; Y186 ; 30 Nov 2018 ;lsd ;; 3.3 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; N539VL ;Airbus A320-271N; Y186 ; 16 Oct 2018 ;lsd ;; 3.4 Years ;;;
; N541VL ;Airbus A320-271N; Y186 ; 31 Jul 2019 ;lsd ;; 2.6 Years ;;;
; XA-VRD ;Airbus A320-271N; Y186 ; 31 Oct 2017 ;; Memoku ; 4.4 Years ;;;
; XA-VRE ;Airbus A320-271N; Y186 ; 5 Jul 2018 ;lsd ;; 3.7 Years ;;;
; XA-VRF ;Airbus A320-271N; Y186 ; 27 Sep 2018 ;;; 3.4 Years ;;;
; XA-VRH ;Airbus A320-271N; Y186 ; 30 Oct 2018 ;lsd ;; 3.4 Years ;;;
; XA-VRI ;Airbus A320-271N; Y186 ; 29 Apr 2019 ;; Mario ; 2.9 Years ;;;
; XA-VRJ ;Airbus A320-271N; Y186 ; 7 May 2019 ;;; 2.9 Years ;;;
; XA-VRK ;Airbus A320-271N; Y186 ; 2 Sep 2019 ;;; 2.5 Years ;;;
; XA-VRL ;Airbus A320-271N; Y186 ; 28 Jul 2020 ;lsd ;; 1.8 Years ;;;
; XA-VRN ;Airbus A320-271N; Y186 ; 30 Jun 2020 ;lsd ;; 1.8 Years ;;;
; XA-VRO ;Airbus A320-271N; Y186 ; 2 Nov 2020 ;;; 1.4 Years ;;;
; XA-VRP ;Airbus A320-271N; Y186 ; 5 Aug 2020 ;lsd ;; 1.8 Years ;;;
; XA-VRQ ;Airbus A320-271N; Y186 ; 25 Sep 2020 ;;; 1.4 Years ;;;
; XA-VRR ;Airbus A320-271N; Y186 ; 17 Dec 2020 ;;; 1.2 Years ;;;
; XA-VRS ;Airbus A320-271N; Y186 ; 30 Nov 2020 ;;; 1.3 Years ;;;
; XA-VRT ;Airbus A320-271N; Y186 ; 17 Feb 2021 ;;; 1.1 Years ;;;
; XA-VRU ;Airbus A320-271N; Y186 ; 4 Jun 2021 ;;; 0.8 Years ;;;
; XA-VRV ;Airbus A320-271N; Y186 ; 8 Jul 2021 ;"90th Volaris aircraft" sticker ; Martha / Rafael ; 0.7 Years ;;;
; XA-VRW ;Airbus A320-271N; Y186 ; 5 Jun 2021 ;;; 0.8 Years ;;;
; XA-VRX ;Airbus A320-271N;; 17 Jun 2021 ;lsd ;; 1 Years ;;;
; XA-VRY ;Airbus A320-271N;; 17 Jun 2021 ;lsd ;; 0.8 Years ;;;
; XA-VRZ ;Airbus A320-271N; Y186 ; 2 Jul 2021 ;lsd ;; 0.7 Years ;;;
; XA-VSA ;Airbus A320-271N; Y186 ; 22 Jul 2021 ;lsd ;; 0.6 Years ;;;
; XA-VSD ;Airbus A320-271N; Y186 ; 28 Oct 2021 ;;; 0.4 Years ;;;
; XA-VSE ;Airbus A320-271N; Y186 ; 18 Oct 2021 ;lsd ;; 0.5 Years ;;;
; XA-VSF ;Airbus A320-271N; Y186 ; 10 Nov 2021 ;;; 1.5 Years ;;;
; XA-VSG ;Airbus A320-272N; Y186 ; 3 Dec 2021 ;;; 1.4 Years ;;;
; XA-VSH ;Airbus A320-271N; Y186 ; 19 Oct 2021 ;lsd, "100th Aircraft (100 aviones para que mas personas viajan bien)" sticker ; Cien ; 1 Years ;;;
; XA-VSI ;Airbus A320-271N; Y186 ; Due ; Stored, lsd ;; 2.2 Years ;;;
; XA-VSJ ;Airbus A320-271N; Y186 ; 19 Nov 2021 ;lsd ;; 1.7 Years ;;;
; XA-VSN ;Airbus A320-271N; Y186 ; On Order ;;;;;;
; XA-VLH ;Airbus A321-231(WL); Y220 ; 20 Apr 2015 ;lsd ; Dagoberto ; 6.9 Years ;;;
; XA-VLJ ;Airbus A321-231(WL); Y220 ; 21 May 2015 ;lsd ; Fernando ; 6.8 Years ;;;
; XA-VLT ;Airbus A321-231(WL); Y220 ; 17 May 2016 ;lsd ; Sergio ; 5.8 Years ;;;
; XA-VLU ;Airbus A321-231(WL); Y220 ; 28 Jun 2016 ; Parked, lsd ; Maiela ; 5.7 Years ;;;
; XA-VLV ;Airbus A321-231(WL); Y220 ; 30 Sep 2016 ;lsd ; Camila ; 5.4 Years ;;;
; XA-VLW ;Airbus A321-231(WL); Y220 ; 28 Sep 2016 ;lsd ;; 5.4 Years ;;;
; XA-VLY ;Airbus A321-231(WL); Y220 ; 30 Nov 2016 ;lsd ;; 5.3 Years ;;;
; XA-VLZ ;Airbus A321-231(WL); Y220 ; 13 Dec 2016 ;lsd ;; 5.2 Years ;;;
; XA-VRB ;Airbus A321-231(WL); Y220 ; 31 Oct 2016 ;lsd ;; 5.3 Years ;;;
; XA-VRC ;Airbus A321-231(WL); Y220 ; 17 Nov 2016 ;lsd ;; 5.3 Years ;;;
; N534VL ;Airbus A321-271N; Y230 ; 29 Dec 2017 ;lsd ;; 4.2 Years ;;;
; N535VL ;Airbus A321-271N; Y230 ; 24 Apr 2018 ;lsd ;; 3.9 Years ;;;
; N536VL ;Airbus A321-271N; Y230 ; 28 Nov 2018 ;lsd ;; 3.3 Years ;;;
; N537VL ;Airbus A321-271N; Y230 ; 13 Jul 2018 ;lsd ;; 3.7 Years ;;;
; N542VL ;Airbus A321-271N; Y230 ; 28 Mar 2019 ; Parked, lsd ; Romina ; 3 Years ;;;
; N543VL ;Airbus A321-271N; Y230 ; 16 Oct 2019 ;lsd ;; 2.4 Years ;;;
; N ;Airbus A321-271NX;; On Order ;;;;;;
