;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; RA-82042 ;Antonov An-124-100; Cargo ; Sep 1993 ; Parked OVB ; 31.7 Years ;;
; RA-82043 ;Antonov An-124-100; Cargo ; Nov 1992 ; Parked ; 31.7 Years ;;
; RA-82044 ;Antonov An-124-100; Cargo ; Dec 1992 ; Parked ; 30.7 Years ;;
; RA-82045 ;Antonov An-124-100; Cargo ; Jan 1993 ; Parked LEJ ; 30.7 Years ;;
; RA-82046 ;Antonov An-124-100; Cargo ; Mar 1993 ;; 29.6 Years ;;
; RA-82047 ;Antonov An-124-100; Cargo ; 13 Mar 1993 ;; 29.7 Years ;;
; RA-82068 ;Antonov An-124-100; Cargo ; Apr 2016 ; Parked ULY ; 28.7 Years ;;
; RA-82074 ;Antonov An-124-100; Cargo ; Sep 1999 ;; 28.7 Years ;;
; RA-82077 ;Antonov An-124-100; Cargo ; Jan 2017 ;; 26.5 Years ;;
; RA-82078 ;Antonov An-124-100; Cargo ; Sep 1996 ;; 25.4 Years ;;
; RA-82079 ;Antonov An-124-100; Cargo ; 14 Aug 2000 ;; 26 Years ;;
; RA-82081 ;Antonov An-124-100M; Cargo ; 24 May 2004 ; Parked ULY ; 17.9 Years ;;
; RA-76503 ; Ilyushin Il-76TD-90VD ; Cargo ; 27 Dec 2011 ;; 10.4 Years ;;
; RA-76511 ; Ilyushin Il-76TD-90VD ; Cargo ; 16 May 2012 ;; 9.9 Years ;;
; RA-76950 ; Ilyushin Il-76TD-90VD ; Cargo ; 6 May 2006 ; Parked ULY, Vladimir Kokkinaki ;;;
; RA-76951 ; Ilyushin Il-76TD-90VD ; Cargo ; 28 Sep 2007 ;; 14.6 Years ;;
; RA-76952 ; Ilyushin Il-76TD-90VD ; Cargo ; Apr 2010 ;; 12 Years ;;
