;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; EC-MGF ;Airbus A319-112; Y144 ; 9 Jul 2015 ;lsd ;; 15.1 Years ;;
; EC-MIQ ;Airbus A319-112; Y144 ; 17 Dec 2015 ; Parked, lsd ;; 14.7 Years ;;
; EC-MIR ;Airbus A319-112; Y144 ; 20 Nov 2015 ;lsd ;; 14.1 Years ;;
; EC-MKV ;Airbus A319-112; Y144 ; 21 Jun 2016 ;lsd ;; 14.9 Years ;;
; EC-MKX ;Airbus A319-112; Y144 ; 6 Apr 2016 ; Parked, lsd ;; 15 Years ;;
; EC-NGB ;Airbus A319-112; Y144 ; 13 Aug 2019 ;lsd ;; 15.9 Years ;;
; EC-JGM ;Airbus A320-214; Y180 ; 11 Apr 2005 ; Parked, lsd ; The joy of vueling ; 17 Years ;;
; EC-JSY ;Airbus A320-214; Y180 ; 31 May 2006 ;lsd ; Connie Baraja ; 15.9 Years ;;
; EC-JTQ ;Airbus A320-214; Y180 ; 12 Jun 2006 ; Parked, lsd ; Vueling, que es gerundio! ; 15.8 Years ;;
; EC-JTR ;Airbus A320-214; Y180 ; 26 Jun 2006 ;lsd ; No Vueling no party ; 15.7 Years ;;
; EC-JYX ;Airbus A320-214; Y180 ; 30 Nov 2006 ; Parked, lsd ; Elisenda Masana ; 15.3 Years ;;
; EC-JZI ;Airbus A320-214; Y180 ; 19 Dec 2006 ;lsd ; Vueling in love ; 15.2 Years ;;
; EC-KCU ;Airbus A320-216; Y180 ; 9 Jul 2009 ; Parked, lsd ; My name is Ling. Vue Ling. ; 14.9 Years ;;
; EC-KDG ;Airbus A320-214; Y180 ; 18 Apr 2007 ;lsd ; Absolute Vueling ; 15 Years ;;
; EC-KDH ;Airbus A320-214; Y180 ; 13 Apr 2007 ; Parked, lsd ; Ain’t no Vueling high enough ; 15 Years ;;
; EC-KDT ;Airbus A320-216; Y180 ; 16 Nov 2020 ; Parked, lsd ;; 14.8 Years ;;
; EC-KDX ;Airbus A320-216; Y180 ; 9 Jul 2009 ; Parked, lsd ; Francisco Jose Ruiz Cortizo ; 14.8 Years ;;
; EC-KHN ;Airbus A320-216; Y180 ; 9 Jul 2009 ;lsd ;; 14.6 Years ;;
; EC-KJD ;Airbus A320-216; Y180 ; 9 Jul 2009 ; Parked, lsd ;; 14.5 Years ;;
; EC-KLB ;Airbus A320-214; Y180 ; 28 Nov 2007 ; Parked, lsd ; Vuela y punto ; 14.3 Years ;;
; EC-KLT ;Airbus A320-216; Y180 ; 9 Jul 2009 ;lsd ;; 14.2 Years ;;
; EC-KMI ;Airbus A320-216; Y180 ; 9 Jul 2009 ;lsd ; How are you? I'm Vueling! ; 14.1 Years ;;
; EC-KRH ;Airbus A320-214; Y180 ; 29 May 2008 ;lsd ; Vueling me softly ; 13.8 Years ;;
; EC-LAB ;Airbus A320-214; Y180 ; 19 Mar 2009 ; Parked, lsd ; Vueling voy, Vueling vengo ; 15.9 Years ;;
; EC-LLJ ;Airbus A320-214; Y180 ; 19 Mar 2020 ;lsd ; Luke SkyVueling ; 10.9 Years ;;
; EC-LLM ;Airbus A320-214; Y180 ; 29 Apr 2011 ;lsd ; Be happy, be Vueling ; 10.9 Years ;;
; EC-LOC ;Airbus A320-214; Y180 ; 6 Oct 2011 ;lsd ; Vueling on heaven´s door ; 10.4 Years ;;
