;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PR-WJA ;Boeing 737-322; Y148 ; 13 Dec 2007 ; 23 Nov 2012 ;N144WJ Apollo Aviation ;lsd ;;
; PR-WJB ;Boeing 737-341; Y148 ; Mar 2008 ; 18 Dec 2013 ;N250WF Apollo Aviation ;;;
; PR-WJC ;Boeing 737-341;; 3 Feb 2008 ;; Scrapped ;;;
; PR-WJD ;Boeing 737-3Y0;; Feb 2008 ; 18 Dec 2013 ;N23922 Apollo Aviation ;;;
; PR-WJE ;Boeing 737-33A; Y148 ; Aug 2008 ; 29 Apr 2013 ;N706DB Ansett Worldwide (AWAS) ;lsd ;;
; PR-WJF ;Boeing 737-341; Y136 ; May 2008 ; 12 Mar 2014 ;N146WJ Apollo Aviation ;lsd ;;
; PR-WJG ;Boeing 737-322;; 25 Jun 2008 ;; Stored ;;;
; PR-WJH ;Boeing 737-341; Y136 ; 8 Dec 2008 ; 28 Jan 2014 ;N147WJ Apollo Aviation ;lsd ;;
; PR-WJI ;Boeing 737-341; Y136 ; Nov 2008 ; 15 Oct 2014 ;N148WJ Apollo Aviation ;lsd ;;
; PR-WJJ ;Boeing 737-341; Y136 ; Jan 2009 ;; Stored ;;;
; PR-WJK ;Boeing 737-33A; Y148 ; 12 Sep 2008 ;; Stored ;;;
; PR-WJL ;Boeing 737-36N;; 10 Jun 2009 ; 1 Mar 2013 ;N590AG Aviation Capital Group (ACG) ;lsd ;;
; PR-WJM ;Boeing 737-36Q;; 27 Apr 2009 ; 22 Feb 2013 ;N660AG Aviation Capital Group (ACG) ;lsd ;;
; PR-WJN ;Boeing 737-36Q; Y148 ; 6 May 2009 ; 1 Mar 2013 ;N293AG Aviation Capital Group (ACG) ;lsd ;;
; PR-WJO ;Boeing 737-3Q8;; 29 May 2009 ; 23 Nov 2012 ;N295AN Ansett Worldwide (AWAS) ;lsd ;;
; PR-WJP ;Boeing 737-3Q8;; 28 Jul 2009 ; 14 Aug 2012 ;CP-2716 Boliviana de Aviación (BoA) ;lsd ;;
; PR-WJQ ;Boeing 737-3U3; Y148 ; 2 Dec 2009 ; 12 Apr 2013 ;N297CS GECAS ;;;
; PR-WJR ;Boeing 737-36N; Y136 ; 26 Nov 2009 ; 15 Mar 2013 ;N296CS GECAS ;lsd ;;
; PR-WJS ;Boeing 737-3Y0;; 19 Nov 2009 ; 19 Feb 2013 ;N465BV AerCap ;lsd ;;
; PR-WJT ;Boeing 737-3Y0;; 6 Nov 2009 ; 20 Feb 2013 ;N908BV AerCap ;;;
; PR-WJU ;Boeing 737-36N; Y136 ; 29 Nov 2010 ; 21 Nov 2012 ;N11AQ Aero Acquisitions ;;;
; PR-WJV ;Boeing 737-36N; Y136 ; 24 Nov 2010 ; 20 Nov 2013 ;N558MS GECAS ;lsd ;;
; PR-WJW ;Boeing 737-33A;; 16 Dec 2010 ; 13 Nov 2012 ;N267AN Ansett Worldwide (AWAS) ;lsd ;;
; PR-WJX ;Boeing 737-33A; Y148 ; 4 Feb 2011 ; Dec 2012 ;PR-CID Clube Nautico Agua Limpa ;;;
; PR-GGD ;Boeing 737-8EH(WL); Y187 ; 1 May 2012 ; 19 Nov 2012 ;PR-GGD GOL Transportes Aéreos ;lsd ;;
; PR-GGF ;Boeing 737-8EH(WL); Y187 ; 12 Mar 2012 ; 23 Nov 2012 ;PR-GGF GOL Transportes Aéreos ;;;
; PR-GGQ ;Boeing 737-8EH(WL); Y183 ; 15 Jun 2012 ; 23 Nov 2012 ;PR-GGQ GOL Transportes Aéreos ;;;
; PR-GGT ;Boeing 737-8EH(WL); Y183 ; 24 May 2012 ; 23 Nov 2012 ;PR-GGT GOL Transportes Aéreos ;;;
; PR-GTI ;Boeing 737-8EH(WL); Y184 ; 14 Dec 2011 ; 2 Nov 2012 ;PR-GTI GOL Transportes Aéreos ;;;
; PR-GTJ ;Boeing 737-8EH(WL); Y184 ; 8 Feb 2012 ; 29 Nov 2012 ;PR-GTJ GOL Transportes Aéreos ;;;
; PR-GTU ;Boeing 737-8EH(WL); Y187 ; 30 Dec 2011 ; 14 Nov 2012 ;PR-GTU GOL Transportes Aéreos ;lsf GOL Transportes Aéreos ;;
