;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GKPE ;ATR 72-202;; 21 Dec 2006 ; 11 Jan 2007 ;EC-KAE Swiftair ;lsd ;;
; LX-WAB ;ATR 72-201(F); Cargo ; 8 Jun 2007 ; 9 May 2013 ;ZS-XCF Solenta Aviation ;;;
; LX-WAD ;British Aerospace ATP(F)(LFD); Cargo ; 17 Jan 2012 ; 9 Oct 2013 ;SE-MAJ West Air Sweden ;;;
; LX-WAE ;British Aerospace ATP(F)(LFD); Cargo ; 1 Dec 2011 ; 31 Aug 2015 ;SE-MAP West Air Sweden ;;;
; LX-WAF ;British Aerospace ATP(F)(LFD); Cargo ; 25 Aug 2011 ; 15 May 2013 ;SE-KXP West Air Sweden ;lsd ;;
; LX-WAK ;British Aerospace ATP(F); Cargo ; 10 Nov 2011 ; 12 Sep 2013 ;SE-LNX West Air Sweden ;lsd ;;
; LX-WAL ;British Aerospace ATP(F); Cargo ; 23 Mar 2012 ; 24 Sep 2013 ;SE-LHZ West Air Sweden ;;;
; LX-WAM ;British Aerospace ATP(F); Cargo ; 19 Apr 2012 ; 18 Oct 2013 ;SE-LPU West Air Sweden ;;;
; LX-WAN ;British Aerospace ATP(F); Cargo ; 1 Jul 2011 ; 30 Aug 2013 ;SE-LHX West Air Sweden ;;;
; LX-WAO ;British Aerospace ATP(F)(LFD); Cargo ; 14 Jan 2005 ; 14 Nov 2013 ;SE-LPS West Air Sweden ;;;
; LX-WAP ;British Aerospace ATP(F); Cargo ; 27 May 2005 ; 4 Oct 2013 ;SE-LPR West Air Sweden ;;;
; LX-WAS ;British Aerospace ATP(F); Cargo ; 4 Sep 2007 ; 18 Oct 2013 ;SE-LPT West Air Sweden ;;;
; LX-WAT ;British Aerospace ATP(F)(LFD); Cargo ; 14 Jan 2008 ; 25 Sep 2013 ;SE-MAO West Air Sweden ;;;
; LX-WAV ;British Aerospace ATP(F)(LFD); Cargo ; 28 May 2008 ; 22 Oct 2013 ;SE-LPV West Air Sweden ;lsd ;;
; LX-WAW ;British Aerospace ATP(F)(LFD); Cargo ; 17 Dec 2008 ; 30 Aug 2013 ;SE-LGZ West Air Sweden ;;;
; LX-WAX ;British Aerospace ATP(F); Cargo ; 27 Jul 2011 ; 17 Sep 2013 ;SE-LPX West Air Sweden ;lsd ;;
