;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; N258SN ;Boeing 747-47UF; Cargo ; Nov 2020 ;; 22.7 Years ;;
; N344KD ;Boeing 747-446(BCF); Cargo ; 16 Nov 2015 ;; 29.6 Years ;;
; N356KD ;Boeing 747-446(BCF); Cargo ; 7 Nov 2015 ; Parked ; 27.9 Years ;;
; N452SN ;Boeing 747-48E(BDSF); Cargo ; 19 May 2021 ;452 ; 30.2 Years ;;
; N411SN ;McDonnell Douglas MD-11F; Cargo ; 21 Dec 2015 ; Parked ; 31.2 Years ;;
; N412SN ;McDonnell Douglas MD-11F; Cargo ; 6 Jun 2015 ;; 31.2 Years ;;
; N415JN ;McDonnell Douglas MD-11F; Cargo ; 22 Aug 2014 ;415 ; 27.3 Years ;;
; N435KD ;McDonnell Douglas MD-11F; Cargo ; 10 Apr 2014 ; Parked SHV ; 30.3 Years ;;
; N512JN ;McDonnell Douglas MD-11F; Cargo ; 29 Jul 2015 ;; 29.1 Years ;;
; N513SN ;McDonnell Douglas MD-11F; Cargo ; 29 Jul 2015 ; Parked ; 28 Years ;;
; N542KD ;McDonnell Douglas MD-11F; Cargo ; 23 Apr 2015 ;; 27.6 Years ;;
; N543JN ;McDonnell Douglas MD-11F; Cargo ; 6 May 2013 ; Parked ; 27.5 Years ;;
; N545JN ;McDonnell Douglas MD-11F; Cargo ; 15 Aug 2014 ;; 26.8 Years ;;
; N546JN ;McDonnell Douglas MD-11F; Cargo ; 26 Jun 2015 ; Parked ; 26.6 Years ;;
; N581JN ;McDonnell Douglas MD-11F; Cargo ; 31 Dec 2015 ;; 27.9 Years ;;
; N630SN ;McDonnell Douglas MD-11F; Cargo ; 31 Dec 2015 ; Parked OSC ; 27.8 Years ;;
; N781SN ;McDonnell Douglas MD-11F; Cargo ; 17 Aug 2021 ;; 23.9 Years ;;
; N783SN ;McDonnell Douglas MD-11F; Cargo ; 28 Oct 2021 ;; 23.8 Years ;;
; N784SN ;McDonnell Douglas MD-11F; Cargo ; 22 Jun 2021 ; Parked ; 23.7 Years ;;
; N799JN ;McDonnell Douglas MD-11F; Cargo ; 12 Feb 2019 ; Parked ; 22.5 Years ;;
; N804SN ;McDonnell Douglas MD-11F; Cargo ; 31 Aug 2017 ; Parked SHV ; 21.9 Years ;;
