;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; CS-TFU ;Airbus A319-115(LR); C48 ; 25 Oct 2018 ; Parked OPO ; 16.9 Years ;;
; CS-TQJ ;Airbus A319-115(CJ); VIP ; Feb 2011 ; Parked OPO ; 16 Years ;;
; CS-TRO ;Airbus A320-214; Y180 ; Apr 2014 ; Parked, lsd ; 26.6 Years ;;
; CS-DJA ;ATR 72-600 (72-212A); Y70 ; Mar 2016 ; Parked, lsd, opf TAP Express ; 6.2 Years ;;
; CS-DJB ;ATR 72-600 (72-212A); Y70 ; 11 May 2016 ;lsd, opf TAP Express ; 6.1 Years ;;
; CS-DJC ;ATR 72-600 (72-212A); Y70 ; Mar 2016 ; Parked, lsd, opf TAP Express ; 7 Years ;;
; CS-DJD ;ATR 72-600 (72-212A); Y70 ; Mar 2016 ;lsd, opf TAP Express ; 7 Years ;;
; CS-DJE ;ATR 72-600 (72-212A); Y70 ; Apr 2016 ;lsd, opf TAP Express ; 7 Years ;;
; CS-DJF ;ATR 72-600 (72-212A); Y70 ; Apr 2016 ;lsd, opf TAP Express ; 6.3 Years ;;
; CS-DJG ;ATR 72-600 (72-212A); Y70 ; Jul 2016 ; Parked, lsd, opf TAP Express ; 5.9 Years ;;
; CS-DJH ;ATR 72-600 (72-212A); Y70 ; Jul 2016 ; Parked, lsd, opf TAP Express ; 5.9 Years ;;
; CS-FAF ;Boeing 737-8FB(WL); C20Y126 ; 27 Jun 2014 ;opf Ceiba Intercontinental ; 7.7 Years ;;
; CS-TQX ;Boeing 777-2FBLR; VIP ; 11 Aug 2012 ;opf Ceiba Intercontinental ; 10.8 Years ;;
