;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N1187Z ;Boeing 727-022;; Jan 1986 ; 7 May 1986 ;N1187Z Air Atlanta ;;;
; N750WA ;Boeing 747-124(SF); Cargo ; 22 Dec 1981 ; 2 Jul 1982 ;HK-2900X Avianca ;;;
; N747WR ;Boeing 747-273C; Cargo ; 15 Oct 1983 ; 17 Nov 1983 ;N747WR National Airlines ;;;
; N748WA ;Boeing 747-273C;; 14 Oct 1983 ; 5 Nov 1983 ;N748WA Flying Tiger Line ;;;
; N749WA ;Boeing 747-273C;; 15 Sep 1984 ; 10 Oct 1984 ;N749WA Flying Tiger Line ;;;
; N740WA ;Boeing 747-4H6(BDSF); Cargo ; 29 Mar 2008 ; 24 Nov 2013 ;TF-AMM Air Atlanta Icelandic ;lsd ;;
; N741WA ;Boeing 747-4H6(BDSF); Cargo ; 15 May 2008 ; 22 May 2012 ;N493EV Evergreen International Airlines ;lsd ;;
; N742WA ;Boeing 747-412(BDSF); Cargo ; 15 Sep 2010 ; 27 Mar 2014 ;N742WA Centurion Air Cargo ;lsd ;;
; N743WA ;Boeing 747-412(BDSF); Cargo ; 9 Jan 2011 ; 9 Jul 2012 ;N743WA Southern Air ;lsd ;;
; N801WA ;Douglas DC-8-63CF;; 20 Mar 1984 ; 27 Aug 1984 ;N801WA Emery Worldwide Airlines ;;;
; N802WA ;Douglas DC-8-63CF;; 12 Mar 1971 ; 8 Sep 1973 ; Written Off ;;;
; N803WA ;Douglas DC-8-63CF;; 29 Mar 1971 ; 31 Dec 1979 ;N803WA Jet Aviation Flight Services ;;;
; N804WA ;Douglas DC-8-63CF;; 30 Nov 1980 ; 11 Feb 1982 ;N804WA Capitol Air ;;;
; N805WA ;Douglas DC-8-63CF;; Nov 1980 ; Feb 1982 ;N805WA Capitol Air ;lsd ;;
; N806WA ;Douglas DC-8-63CF;; 1 Feb 1979 ; 13 Feb 1982 ;N806WA Overseas National Airways (ONA) ;lsd ;;
; N911CL ;Douglas DC-8-61;; 9 Nov 1975 ; Jan 1976 ;N911CL Capitol Air ;lsf Capitol Air ;;
; N974FT ;Douglas DC-8-63CF;; 6 Nov 1975 ; 9 May 1976 ;N974FT Flying Tiger Line ;lsf Flying Tiger Line ;;
; N102UA ;McDonnell Douglas DC-10-10;; Oct 1990 ; 4 Jun 1992 ;N102UA Scibe Airlift ;;;
; N104WA ;McDonnell Douglas DC-10-10;; Aug 1990 ; 25 Apr 1992 ; Scrapped ;lsd ;;
; N1826U ;McDonnell Douglas DC-10-10;; 22 Mar 1986 ; 16 Sep 1986 ;N1826U United Airlines ;lsf United Airlines ;;
; N1827U ;McDonnell Douglas DC-10-10;; 20 Apr 1986 ; 16 Sep 1989 ;N1827U United Airlines ;lsf United Airlines ;;
; N1828U ;McDonnell Douglas DC-10-10;; 30 Apr 1986 ; 15 Sep 1986 ;N1828U United Airlines ;lsf United Airlines ;;
; N1829U ;McDonnell Douglas DC-10-10;; 9 May 1986 ; 15 Sep 1986 ;N1829U United Airlines ;lsf United Airlines ;;
; N591LF ;McDonnell Douglas DC-10-10(F); Cargo ; 9 Dec 1993 ; 2 Nov 1994 ;N40061 FedEx Express ;lsd ;;
; N902WA ;McDonnell Douglas DC-10-10;; Nov 1990 ; 1 Mar 1991 ;N902WA United Aviation Services (UAS) ;lsd ;;
; N904WA ;McDonnell Douglas DC-10-10;; 23 Mar 1984 ; 20 Nov 1984 ;N904WA Arrow Air ;lsd ;;
; N905WA ;McDonnell Douglas DC-10-10;; 23 Mar 1984 ; Nov 1984 ;N905WA Arrow Air ;;;
; N916JW ;McDonnell Douglas DC-10-10;; 18 Oct 1984 ; 20 Jan 1987 ;N171AA American Airlines ;916, lsd ;;
; SE-DHX ;McDonnell Douglas DC-10-10;; 1 Aug 1990 ; 29 May 1991 ;SE-DHX Scanair ;;;
; 9M-MAS ;McDonnell Douglas DC-10-30;; 2 Mar 1996 ; 20 Jul 1998 ;N301FV Finova Capital Corporation (FCC) ;lsf Malaysia Airlines ;;
; 9M-MAW ;McDonnell Douglas DC-10-30;; 29 Jun 1995 ; 9 Nov 1996 ;9M-MAW Malaysia Airlines ;lsf Malaysia Airlines ;;
; 9M-MAZ ;McDonnell Douglas DC-10-30;; 19 Dec 1995 ; 26 Feb 1998 ;9M-MAZ Malaysia Airlines ;lsf Malaysia Airlines ;;
; LN-RKC ;McDonnell Douglas DC-10-30;; 4 May 1991 ; 21 Oct 1991 ;LN-RKC SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N103WA ;McDonnell Douglas DC-10-30CF;; 7 Mar 1978 ; 18 Apr 1986 ;N1856U United Airlines ;103, lsd ;;
; N104WA ;McDonnell Douglas DC-10-30CF;; 15 Jun 1978 ; 1 May 1986 ;N1857U United Airlines ;104, lsd ;;
; N105WA ;McDonnell Douglas DC-10-30CF;; 4 Aug 1978 ; 1 May 1986 ;N1858U United Airlines ;;;
; N105WA ;McDonnell Douglas DC-10-30CF;; Nov 1992 ; 13 Dec 1994 ;UN-10200 AVCOM ;lsd ;;
; N106WA ;McDonnell Douglas DC-10-30CF;; 1991 ; 15 Aug 1994 ;N317FE FedEx Express ;;;
; N107WA ;McDonnell Douglas DC-10-30CF; Cargo ; Dec 1997 ;; Scrapped ;;;
; N108WA ;McDonnell Douglas DC-10-30CF;; 5 Jul 1993 ; 12 Jul 1994 ;N108WA FedEx Express ;lsd ;;
; N109WA ;McDonnell Douglas DC-10-30CF;; Sep 1985 ; 10 Apr 1986 ;N109WA United Airlines ;;;
; N112WA ;McDonnell Douglas DC-10-30CF; Cargo ; Jul 1993 ; May 1994 ;N112WA Malaysia Airlines ;;;
; N113WA ;McDonnell Douglas DC-10-30CF;; 27 May 1980 ; 23 Jan 1982 ; Written Off ;;;
; N114WA ;McDonnell Douglas DC-10-30;; 10 Jul 1993 ; 20 Jul 1993 ;S2-ADA Biman Bangladesh Airlines ;;;
; N115WA ;McDonnell Douglas DC-10-30;; Mar 1992 ; 28 Apr 1992 ;N115WA Garuda Indonesia ;lsd ;;
; N116WA ;McDonnell Douglas DC-10-30CF; Cargo ; 6 Dec 1994 ; 26 Oct 1995 ;5X-JOE DAS Air Cargo ;;;
; N136WA ;McDonnell Douglas DC-10-30;; 22 Feb 2008 ; 31 Jul 2010 ; Scrapped ;;;
; N137WA ;McDonnell Douglas DC-10-30;; 22 Feb 2008 ;; Scrapped ;;;
; N138WA ;McDonnell Douglas DC-10-30;; 23 Feb 2008 ;; Scrapped ;;;
; N139WA ;McDonnell Douglas DC-10-30(ER);; 3 Nov 2008 ; 6 May 2009 ; Preserved ;139 ;;
