;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 9J-AFC ;ATR 42-300;; 3 Jun 1988 ; 11 Jun 1999 ;N92BN Business Aviation Services ;Luangwa ;;
; 9J-AFD ;ATR 42-300;; 17 Jun 1988 ; Dec 1994 ;N96BN JCPL Leasing Corporation ;;;
; ZS-OVL ;ATR 42-320;; 15 May 2004 ; Sep 2004 ;ZS-OVL Executive Turbine Aviation ;lsf Executive Turbine Aviation ;;
; 9J-RCH ;BAC 1-11-207AJ One-Eleven;; 1 Apr 1972 ; 26 Mar 1975 ;G-ATTP Dan-Air London ;;;
; 9J-RCI ;BAC 1-11-207AJ One-Eleven;; 14 Dec 1967 ; 26 Mar 1975 ;G-ATVH Dan-Air London ;;;
; 9J-ADZ ;Boeing 737-248;; 30 Mar 1975 ; 18 Jun 1976 ;EI-ASA Aer Lingus ;lsf Aer Lingus ;;
; 9J-AEG ;Boeing 737-2M9(A);; 7 Jun 1976 ; 6 Jul 1995 ;PP-SPJ VASP ;;;
; 9J-AFM ;Boeing 737-291(A);; 4 May 1990 ; 29 Jun 1994 ;N7358F Guinness Peat Aviation (GPA) ;lsd ;;
; CS-TEV ;Boeing 737-230(A);; Jan 1990 ; May 1990 ;CS-TEV Air Atlantis ;lsf Air Atlantis ;;
; N603FF ;Boeing 747-130;; 29 Sep 1988 ; 5 Nov 1988 ;N603FF Tower Air ;lsf Tower Air ;;
; 9J-AFO ;Boeing 757-23APF; Cargo ; 18 Oct 1990 ; 30 Dec 1993 ;VH-AWE Gulf Air ;lsd ;;
; 9J-ABR ;Douglas DC-8-43;; 28 Feb 1970 ;; Scrapped ;lsf Alitalia ;;
; I-DIWR ;Douglas DC-8-43;; Jun 1969 ; Jun 1971 ;I-DIWR Alitalia ;lsf Alitalia ;;
; 9J-AFL ;Douglas DC-8-71; F12Y188 ; 13 Oct 1989 ; 11 Oct 1995 ;N811AL Emery Worldwide Airlines ;lsd ;;
; C-GMXY ;Douglas DC-8-62; Y189 ; 1 Mar 1989 ; Jun 1989 ;C-GMXY Nationair ;lsf Nationair ;;
; N802BN ;Douglas DC-8-62H(F); Cargo ; Jan 1990 ; 1 Oct 1990 ;N802BN Arrow Air ;lsd ;;
; 9J-AFN ;McDonnell Douglas DC-10-30;; 4 Sep 1990 ; 17 Jan 1991 ;D-ADBO Lufthansa ;lsf Lufthansa ;;
; N3016Z ;McDonnell Douglas DC-10-30;; 30 Jul 1984 ; 3 Dec 1994 ;G-DMCA Monarch Airlines ;Nkwazi ;;
; OO-SLA ;McDonnell Douglas DC-10-30CF; Cargo ; 11 Feb 1990 ; 19 Mar 1990 ;OO-SLA Sabena ;;;
