;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BYZJ ;Boeing 737-3Q8; Y148 ; 15 Feb 2003 ; 17 Apr 2009 ;SE-RHT Viking Airlines ;Pudsey Baby, lsd ;;
; G-ECAS ;Boeing 737-36N; Y148 ; 8 Mar 2002 ; 11 Jun 2005 ;B-2600 Air China ;lsd ;;
; G-OBMP ;Boeing 737-3Q8; Y148 ; 18 Oct 2002 ; 9 Sep 2012 ;G-OBMP KLM UK Engineering MRO ;Robin Hood Baby, lsd ;;
; G-ODSK ;Boeing 737-37Q; Y148 ; 20 Sep 2002 ; 9 Sep 2012 ;G-ODSK Aergo Capital ;Baby Dragon fly, lsd ;;
; G-OGBD ;Boeing 737-3L9; Y148 ; 12 Mar 2004 ; 9 Sep 2012 ;N4973S Southern Aircraft Consultancy ;little duncan ;;
; G-OGBE ;Boeing 737-3L9; Y148 ; 9 Apr 2004 ; 28 Apr 2009 ;OY-JTE Jet Time ;;;
; G-OJTW ;Boeing 737-36N; Y148 ; 22 Mar 2002 ; 3 Jun 2005 ;B-2614 Air China ;lsd ;;
; G-TOYA ;Boeing 737-3Q8; Y148 ; 13 Dec 2004 ; 2 Feb 2010 ;VQ-BHB Kuban Airlines ;Brummie Baby, lsd ;;
; G-TOYB ;Boeing 737-3Q8; Y148 ; 24 Nov 2004 ; 14 Sep 2009 ;VQ-BHC Kuban Airlines ;lsd ;;
; G-TOYC ;Boeing 737-3Q8; Y148 ; 13 Dec 2004 ; 24 Oct 2009 ;VQ-BHD Kuban Airlines ;lsd ;;
; G-TOYD ;Boeing 737-3Q8; Y149 ; 13 Jun 2005 ; 9 Sep 2012 ;N733UK European Aviation ;Surf's Up Baby, lsd ;;
; G-TOYE ;Boeing 737-33A; Y148 ; 4 May 2005 ; 25 Jun 2009 ;G-CGET Jet2 ;lsd ;;
; G-TOYF ;Boeing 737-36N; Y148 ; 28 Nov 2005 ; 9 Sep 2012 ;5N-YSM Azman Air ;Rainbow Baby, lsd ;;
; G-TOYG ;Boeing 737-36N; Y148 ; 13 Jan 2006 ; 9 Sep 2012 ;C-GPNL Canadian North ;Butterfly Baby, lsd ;;
; G-TOYH ;Boeing 737-36N; Y148 ; 22 Dec 2005 ; 9 Sep 2012 ;5N-HAI Azman Air ;Baby of the North, lsd ;;
; G-TOYI ;Boeing 737-3Q8; Y148 ; 25 Jul 2008 ; 9 Sep 2012 ;N54AU Automatic LLC ;tinylife baby, lsd ;;
; G-TOYJ ;Boeing 737-36M; Y148 ; 10 Apr 2007 ; 9 Sep 2012 ;YR-BBA Carpatair ;Pudsey Baby, lsd ;;
; G-TOYK ;Boeing 737-33R; Y148 ; 30 May 2007 ; 9 Sep 2012 ;5N-BQP DiscoveryAir ;Jump In Baby, lsd ;;
; G-TOYL ;Boeing 737-36N; Y148 ; 14 Apr 2011 ; 9 Sep 2012 ;C-GKFP Canadian North ;rainbow baby, lsd ;;
; G-TOYM ;Boeing 737-36Q; Y148 ; 15 Aug 2008 ; 9 Sep 2012 ;G-GDFT Jet2 ;Groovy Baby, lsd ;;
; G-BVKA ;Boeing 737-59D; Y131 ; 8 Apr 2003 ; 28 Apr 2004 ;G-THOC Thomsonfly ;lsd ;;
; G-BVKB ;Boeing 737-59D; Y131 ; 12 Nov 2002 ; 9 Sep 2012 ; Partially Preserved ;Jelly Baby, lsd ;;
; G-BVKC ;Boeing 737-59D; Y131 ; 1 Jun 2003 ; 30 Jun 2004 ;G-THOD Thomsonfly ;lsd ;;
; G-BVKD ;Boeing 737-59D; Y131 ; 10 May 2003 ; 1 Jan 2011 ;G-BVKD TAG Aviation (Stansted) ;Ice Ice Baby ;;
; G-BVZE ;Boeing 737-59D; Y131 ; 29 Jan 2003 ; 9 Sep 2012 ;F-HCOB Air Méditerranée ;Little Costa Baby, lsd ;;
; G-BVZG ;Boeing 737-5Q8; Y131 ; 8 Apr 2003 ; 12 Mar 2008 ;VP-BYV Aeroflot-Don ;lsd ;;
; G-BVZH ;Boeing 737-5Q8; Y131 ; 31 Oct 2002 ; 21 Dec 2007 ;VP-BVU Aeroflot-Don ;lsd ;;
; G-BVZI ;Boeing 737-5Q8; Y131 ; 30 Aug 2003 ; 16 May 2008 ;VP-BYU Aeroflot-Don ;lsd ;;
