;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; OE-LKC ;Airbus A319-111; Y156 ; 1 Feb 2019 ;; 12.4 Years ;;
; OE-LKD ;Airbus A319-111; Y156 ; 10 Jan 2018 ;; 13.3 Years ;;
; OE-LKF ;Airbus A319-111; Y156 ; 12 Jan 2018 ;; 13.2 Years ;;
; OE-LKI ;Airbus A319-111; Y156 ; 22 Mar 2018 ;lsd ; 15.7 Years ;;
; OE-LKJ ;Airbus A319-111; Y156 ; 12 Dec 2017 ;lsd ; 15.3 Years ;;
; OE-LKK ;Airbus A319-111; Y156 ; 19 Feb 2018 ;; 14 Years ;;
; OE-LKL ;Airbus A319-111; Y156 ; 21 Feb 2018 ;; 12.4 Years ;;
; OE-LKM ;Airbus A319-111; Y156 ; 26 Feb 2018 ;; 13.4 Years ;;
; OE-LKO ;Airbus A319-111; Y156 ; 14 May 2018 ;; 12.4 Years ;;
; OE-LKP ;Airbus A319-111; Y156 ; 7 May 2018 ;; 13.3 Years ;;
; OE-LKQ ;Airbus A319-111; Y156 ; 9 May 2018 ;lsd ; 15 Years ;;
; OE-LQA ;Airbus A319-111; Y156 ; 19 Mar 2018 ;; 13.1 Years ;;
; OE-LQB ;Airbus A319-111; Y156 ; 2 Mar 2018 ;; 13 Years ;;
; OE-LQC ;Airbus A319-111; Y156 ; 7 Mar 2018 ;; 13.1 Years ;;
; OE-LQD ;Airbus A319-111; Y156 ; 5 Mar 2018 ;; 13.1 Years ;;
; OE-LQE ;Airbus A319-111; Y156 ; 26 Mar 2018 ;; 11.5 Years ;;
; OE-LQF ;Airbus A319-111; Y156 ; 28 Mar 2018 ;; 13 Years ;;
; OE-LQG ;Airbus A319-111; Y156 ; 2 Feb 2018 ;; 12.4 Years ;;
; OE-LQI ;Airbus A319-111; Y156 ; 21 Dec 2017 ;; 14 Years ;;
; OE-LQJ ;Airbus A319-111; Y156 ; 29 Jan 2018 ;; 12.4 Years ;;
; OE-LQL ;Airbus A319-111; Y156 ; 9 Mar 2018 ;; 13.1 Years ;;
; OE-LQM ;Airbus A319-111; Y156 ; 5 Feb 2018 ;; 13 Years ;;
; OE-LQN ;Airbus A319-111; Y156 ; 19 Jan 2018 ;; 13.2 Years ;;
; OE-LQP ;Airbus A319-111; Y156 ; 12 Feb 2018 ;; 13 Years ;;
; OE-LQQ ;Airbus A319-111; Y156 ; 23 Feb 2018 ;; 13 Years ;;
; OE-LQR ;Airbus A319-111; Y156 ; 21 Mar 2018 ;; 12.9 Years ;;
; OE-LQS ;Airbus A319-111; Y156 ; 29 Mar 2018 ;; 12.5 Years ;;
; OE-LQT ;Airbus A319-111; Y156 ; 16 Feb 2018 ;lsd ; 15 Years ;;
; OE-LQU ;Airbus A319-111; Y156 ; 14 Mar 2018 ;; 12.3 Years ;;
; OE-LQW ;Airbus A319-111; Y156 ; 22 Jan 2018 ;; 12.2 Years ;;
; OE-LQX ;Airbus A319-111; Y156 ; 24 Jan 2018 ;; 13.5 Years ;;
; OE-LQZ ;Airbus A319-111; Y156 ; 20 Nov 2017 ;lsd ; 15 Years ;;
; OE-ICB ;Airbus A320-214(WL); Y186 ; 25 May 2018 ;; 6.8 Years ;;
; OE-ICD ;Airbus A320-214(WL); Y186 ; 29 Oct 2019 ; Parked ; 5.9 Years ;;
; OE-ICF ;Airbus A320-214; Y186 ; 10 Dec 2018 ;Bordeaux cs ; 10.8 Years ;;
; OE-ICI ;Airbus A320-214(WL); Y186 ; 12 Nov 2018 ;; 6.2 Years ;;
; OE-ICJ ;Airbus A320-214(WL); Y186 ; 18 Jun 2018 ;; 7.9 Years ;;
; OE-ICK ;Airbus A320-214; Y186 ; 20 Jun 2018 ;; 10.1 Years ;;
; OE-ICL ;Airbus A320-214(WL); Y186 ; 28 Oct 2021 ; Parked ERF, lsd ; 9.5 Years ;;
; OE-ICM ;Airbus A320-214(WL); Y186 ; 23 Nov 2018 ;; 7.2 Years ;;
; OE-ICN ;Airbus A320-214; Y186 ; 28 Oct 2021 ; Parked, lsd ; 9.3 Years ;;
; OE-ICP ;Airbus A320-214(WL); Y186 ; 26 Nov 2018 ;; 6.8 Years ;;
; OE-ICR ;Airbus A320-214(WL); Y186 ; 28 Nov 2018 ;; 6.3 Years ;;
; OE-ICS ;Airbus A320-214(WL); Y186 ; 7 Nov 2018 ;; 8.1 Years ;;
; OE-ICT ;Airbus A320-214(WL); Y186 ; 24 Jan 2018 ;; 6.9 Years ;;
; OE-ICU ;Airbus A320-214(WL); Y186 ; 9 Nov 2018 ;; 8 Years ;;
; OE-ICW ;Airbus A320-214(WL); Y186 ; 14 Nov 2018 ;; 8.6 Years ;;
; OE-ICZ ;Airbus A320-214(WL); Y180 ; 3 Apr 2019 ;lsd ; 6.7 Years ;;
; OE-IJA ;Airbus A320-214(WL); Y186 ; 6 Apr 2018 ;Tendai Mutambirwa ; 4.9 Years ;;
; OE-IJB ;Airbus A320-214(WL); Y186 ; 7 Dec 2017 ;; 6.9 Years ;;
