;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; HZ-FAA ;Airbus A320-214(WL); Y186 ; 23 Aug 2017 ;lsd ; Al-Nayyir /النيّر ; 4.5 Years ;;
; HZ-FAB ;Airbus A320-214(WL); Y186 ; 14 Sep 2017 ;lsd ; Suhail / سهيل‎‎ ; 4.5 Years ;;
; HZ-FAC ;Airbus A320-214(WL); Y186 ; 13 Oct 2017 ;lsd ; Al-Sayf ; 4.4 Years ;;
; HZ-FAD ;Airbus A320-214(WL); Y186 ; 19 Dec 2017 ;lsd ; Al-Kawkab ; 4.2 Years ;;
; HZ-FAE ;Airbus A320-214(WL); Y186 ; 13 Dec 2017 ;lsd ; Al-Janah ; 4.2 Years ;;
; HZ-FAF ;Airbus A320-214(WL); Y186 ; 28 Mar 2018 ;lsd ; Al-Qaws ; 3.9 Years ;;
; HZ-FAG ;Airbus A320-214(WL); Y186 ; 23 Apr 2018 ;lsd ; Al-Anqa ; 3.9 Years ;;
; HZ-FAH ;Airbus A320-214(WL); Y186 ; 28 May 2018 ;lsd ; Al-Tarf ; 3.8 Years ;;
; HZ-FAI ;Airbus A320-214(WL); Y186 ; 17 Dec 2018 ;lsd ; Al-Layth ; 3.3 Years ;;
; HZ-FAJ ;Airbus A320-214(WL); Y186 ; 10 Dec 2018 ;lsd ; Al-Zawraq ; 3.2 Years ;;
; HZ-FAK ;Airbus A320-214(WL); Y186 ; 31 Dec 2018 ;lsd ; Al-Theeb ; 3.2 Years ;;
; HZ-FAL ;Airbus A320-251N; Y186 ; 4 Aug 2020 ; Parked, lsd ; Al-Thuraya ; 2.1 Years ;;
; HZ-FAM ;Airbus A320-251N; Y186 ; 8 Sep 2021 ;; Al-Suha ; 0.6 Years ;;
; HZ-FAN ;Airbus A320-251N; Y186 ; 15 Jul 2021 ;; Al-Tariq ; 0.7 Years ;;
; HZ-FAO ;Airbus A320-251N; Y186 ; 21 Jul 2021 ;; Al-Nissir ; 0.7 Years ;;
; HZ-FAP ;Airbus A320-251N; Y186 ; 29 Dec 2021 ;; Al-Hala ; 0.2 Years ;;
; HZ-FAQ ;Airbus A320-251N; Y186 ; 29 Nov 2021 ;;; 0.3 Years ;;
; HZ-FAR ;Airbus A320-251N; Y186 ; 8 Dec 2021 ;;; 0.3 Years ;;
; HZ-FAS ;Airbus A320-251N; Y186 ; 9 Feb 2022 ;;; 0.2 Years ;;
; HZ-FAT ;Airbus A320-251N; Y186 ; On Order ;;;;;
